Stream_ID,Time_Start,Time_End,KBytes,Kbps,Latency_ms,Lost,Total
9,22.0,23.0,84.7,694.0,14.926,0,59
2,23.0,24.0,76.1,623.0,16.389,0,53
1,23.0,24.0,73.2,600.0,15.837,0,51
5,23.0,24.0,73.2,600.0,15.744,0,51
3,23.0,24.0,76.1,623.0,14.801,0,53
4,23.0,24.0,73.2,600.0,14.853,0,51
6,23.0,24.0,76.1,623.0,14.926,0,53
8,23.0,24.0,73.2,600.0,16.712,0,51
7,23.0,24.0,86.1,706.0,14.765,0,60
9,23.0,24.0,74.6,612.0,15.611,0,52
10,23.0,24.0,84.7,694.0,15.583,0,59
3,24.0,25.0,84.7,694.0,14.027,0,59
6,24.0,25.0,84.7,694.0,13.56,0,59
4,24.0,25.0,84.7,694.0,13.861,0,59
1,24.0,25.0,86.1,706.0,15.145,0,60
2,24.0,25.0,84.7,694.0,16.379,0,59
7,24.0,25.0,84.7,694.0,13.259,0,59
9,24.0,25.0,86.1,706.0,13.165,0,60
5,24.0,25.0,86.1,706.0,15.603,0,60
10,24.0,25.0,74.6,612.0,16.479,0,52
8,24.0,25.0,84.7,694.0,16.707,0,59
1,25.0,26.0,74.6,612.0,16.035,0,52
3,25.0,26.0,84.7,694.0,15.175,0,59
2,25.0,26.0,73.2,600.0,16.257,0,51
5,25.0,26.0,73.2,600.0,15.433,0,51
4,25.0,26.0,84.7,694.0,15.029,0,59
6,25.0,26.0,86.1,706.0,14.513,0,60
10,25.0,26.0,73.2,600.0,16.078,0,51
8,25.0,26.0,77.5,635.0,15.472,0,54
7,25.0,26.0,84.7,694.0,14.798,0,59
9,25.0,26.0,84.7,694.0,15.239,0,59
3,26.0,27.0,73.2,600.0,14.644,0,51
4,26.0,27.0,74.6,612.0,15.606,0,52
2,26.0,27.0,76.1,623.0,16.389,0,53
1,26.0,27.0,73.2,600.0,16.262,0,51
5,26.0,27.0,71.8,588.0,16.272,0,50
6,26.0,27.0,73.2,600.0,14.541,0,51
7,26.0,27.0,74.6,612.0,15.231,0,52
10,26.0,27.0,76.1,623.0,16.329,0,53
9,26.0,27.0,73.2,600.0,15.622,0,51
8,26.0,27.0,73.2,600.0,15.434,0,51
3,27.0,28.0,84.7,694.0,14.215,0,59
8,27.0,28.0,63.2,517.0,16.716,0,44
4,27.0,28.0,84.7,694.0,15.232,0,59
1,27.0,28.0,74.6,612.0,17.413,0,52
6,27.0,28.0,84.7,694.0,14.0,0,59
2,27.0,28.0,73.2,600.0,16.222,0,51
5,27.0,28.0,76.1,623.0,16.756,0,53
7,27.0,28.0,86.1,706.0,14.073,0,60
9,27.0,28.0,84.7,694.0,15.053,0,59
10,27.0,28.0,73.2,600.0,17.026,0,51
3,28.0,29.0,84.7,694.0,13.589,0,59
2,28.0,29.0,66.0,541.0,24.104,0,46
4,28.0,29.0,86.1,706.0,13.37,0,60
6,28.0,29.0,84.7,694.0,13.107,0,59
7,28.0,29.0,84.7,694.0,13.341,0,59
8,28.0,29.0,74.6,612.0,16.216,0,52
9,28.0,29.0,84.7,694.0,13.485,0,59
1,28.0,29.0,73.2,600.0,16.737,0,51
5,28.0,29.0,73.2,600.0,16.572,0,51
10,28.0,29.0,76.1,623.0,16.542,0,53
3,29.0,30.0,84.7,694.0,15.756,0,59
4,29.0,30.0,84.7,694.0,16.22,0,59
8,29.0,30.0,73.2,600.0,16.135,0,51
1,29.0,30.0,77.5,635.0,15.433,0,54
6,29.0,30.0,84.7,694.0,13.395,149,208
5,29.0,30.0,74.6,612.0,16.887,0,52
2,29.0,30.0,83.3,682.0,15.777,0,58
9,29.0,30.0,84.7,694.0,15.956,0,59
7,29.0,30.0,73.2,600.0,15.405,0,51
10,29.0,30.0,73.2,600.0,15.889,0,51
2,30.0,31.0,74.6,612.0,15.107,0,52
1,30.0,31.0,73.2,600.0,14.625,0,51
3,30.0,31.0,86.1,706.0,13.605,412,472
4,30.0,31.0,84.7,694.0,18.057,588,647
8,30.0,31.0,84.7,694.0,14.105,0,59
6,30.0,31.0,84.7,694.0,20.503,645,704
7,30.0,31.0,96.2,788.0,23.132,839,906
5,30.0,31.0,84.7,694.0,14.26,0,59
10,30.0,31.0,84.7,694.0,13.615,0,59
9,30.0,31.0,86.1,706.0,15.324,505,565
3,31.0,32.0,73.2,600.0,18.804,582,633
1,31.0,32.0,84.7,694.0,14.863,0,59
4,31.0,32.0,73.2,600.0,31.89,1123,1174
2,31.0,32.0,84.7,694.0,16.209,0,59
6,31.0,32.0,76.1,623.0,20.263,771,824
5,31.0,32.0,73.2,600.0,16.764,0,51
7,31.0,32.0,73.2,600.0,17.476,406,457
10,31.0,32.0,76.1,623.0,15.733,0,53
8,31.0,32.0,84.7,694.0,16.852,0,59
9,31.0,32.0,76.1,623.0,17.239,568,621
3,32.0,33.0,76.1,623.0,24.886,1264,1317
1,32.0,33.0,63.2,517.0,17.757,0,44
6,32.0,33.0,73.2,600.0,18.974,752,803
2,32.0,33.0,63.2,517.0,18.938,0,44
5,32.0,33.0,64.6,529.0,18.331,0,45
10,32.0,33.0,63.2,517.0,18.226,0,44
4,32.0,33.0,84.7,694.0,22.436,753,812
8,32.0,33.0,64.6,529.0,18.24,0,45
7,32.0,33.0,76.1,623.0,15.676,824,877
9,32.0,33.0,73.2,600.0,15.357,892,943
1,33.0,34.0,96.2,788.0,12.231,0,67
2,33.0,34.0,94.7,776.0,12.349,0,66
7,33.0,34.0,74.6,612.0,37.02,1282,1334
5,33.0,34.0,97.6,800.0,12.131,0,68
3,33.0,34.0,83.3,682.0,20.121,798,856
8,33.0,34.0,96.2,788.0,12.647,0,67
4,33.0,34.0,76.1,623.0,23.32,941,994
6,33.0,34.0,84.7,694.0,29.134,1309,1368
10,33.0,34.0,106.0,870.0,12.192,0,74
9,33.0,34.0,84.7,694.0,34.5,1678,1737
3,34.0,35.0,63.2,517.0,34.645,1163,1207
1,34.0,35.0,94.7,776.0,13.344,0,66
4,34.0,35.0,64.6,529.0,23.824,647,692
2,34.0,35.0,97.6,800.0,13.582,0,68
5,34.0,35.0,93.3,764.0,13.949,0,65
6,34.0,35.0,63.2,517.0,31.624,775,819
10,34.0,35.0,84.7,694.0,13.929,0,59
9,34.0,35.0,54.6,447.0,27.493,0,38
8,34.0,35.0,94.7,776.0,13.753,0,66
7,34.0,35.0,74.6,612.0,20.547,670,722
7,35.0,35.5733,23.0,328.0,39.008,558,574
3,35.0,35.7894,54.6,566.0,34.088,375,413
6,35.0,35.7833,41.6,435.0,20.321,272,301
9,35.0,35.9343,66.0,579.0,33.863,962,1008
1,35.0,36.0,86.1,706.0,14.323,0,60
2,35.0,36.0,84.7,694.0,14.684,0,59
10,35.0,36.0,84.7,694.0,14.635,0,59
5,35.0,36.0,84.7,694.0,15.065,0,59
8,35.0,36.0,84.7,694.0,14.556,0,59
4,35.0,36.0,68.9,564.0,22.078,415,463
2,36.0,37.0,73.2,600.0,15.085,0,51
8,36.0,37.0,76.1,623.0,14.734,0,53
1,36.0,37.0,84.7,694.0,14.689,0,59
5,36.0,37.0,84.7,694.0,15.541,0,59
10,36.0,37.0,86.1,706.0,14.165,0,60
15,0.0,1.0,89.0,729.0,14.498,0,62
