[UE 11 | RB 1] Throughput = 0.22942 Mbps
[UE 12 | RB 1] Throughput = 0.28677 Mbps
[UE 7 | RB 1] Throughput = 0.23962 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29953 Mbps
[UE 12 | RB 1] Throughput = 0.23962 Mbps
[UE 7 | RB 1] Throughput = 0.29792 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29792 Mbps
[UE 12 | RB 1] Throughput = 0.29792 Mbps
[UE 7 | RB 1] Throughput = 0.28417 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22734 Mbps
[UE 12 | RB 1] Throughput = 0.34101 Mbps
[UE 7 | RB 1] Throughput = 0.28733 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28733 Mbps
[UE 12 | RB 1] Throughput = 0.22986 Mbps
[UE 7 | RB 1] Throughput = 0.28464 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28464 Mbps
[UE 12 | RB 1] Throughput = 0.28464 Mbps
[UE 7 | RB 1] Throughput = 0.23936 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23936 Mbps
[UE 12 | RB 1] Throughput = 0.29920 Mbps
[UE 7 | RB 1] Throughput = 0.45631 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22816 Mbps
[UE 12 | RB 1] Throughput = 0.17112 Mbps
[UE 7 | RB 1] Throughput = 0.34374 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28645 Mbps
[UE 12 | RB 1] Throughput = 0.28645 Mbps
