[UE 10 | RB 1] Throughput = 1.31584 Mbps
[UE 1 | RB 1] Throughput = 1.55708 Mbps
[UE 4 | RB 1] Throughput = 1.31753 Mbps
[UE 7 | RB 1] Throughput = 1.13787 Mbps
[UE 9 | RB 1] Throughput = 1.07798 Mbps
[UE 10 | RB 1] Throughput = 1.31753 Mbps
[UE 1 | RB 1] Throughput = 1.03068 Mbps
[UE 4 | RB 1] Throughput = 1.54603 Mbps
[UE 7 | RB 1] Throughput = 1.03068 Mbps
[UE 9 | RB 1] Throughput = 1.54603 Mbps
[UE 10 | RB 1] Throughput = 1.43151 Mbps
[UE 1 | RB 1] Throughput = 1.67547 Mbps
[UE 4 | RB 1] Throughput = 1.43612 Mbps
[UE 7 | RB 1] Throughput = 1.19677 Mbps
[UE 9 | RB 1] Throughput = 1.61563 Mbps
[UE 10 | RB 1] Throughput = 1.37628 Mbps
[UE 1 | RB 1] Throughput = 1.14268 Mbps
[UE 4 | RB 1] Throughput = 0.97128 Mbps
[UE 7 | RB 1] Throughput = 0.97128 Mbps
[UE 9 | RB 1] Throughput = 1.19981 Mbps
[UE 10 | RB 1] Throughput = 1.19981 Mbps
[UE 1 | RB 1] Throughput = 1.67514 Mbps
[UE 4 | RB 1] Throughput = 1.25635 Mbps
[UE 7 | RB 1] Throughput = 1.13670 Mbps
[UE 9 | RB 1] Throughput = 1.19653 Mbps
[UE 10 | RB 1] Throughput = 1.19653 Mbps
[UE 1 | RB 1] Throughput = 1.19618 Mbps
[UE 4 | RB 1] Throughput = 1.25599 Mbps
[UE 7 | RB 1] Throughput = 1.13637 Mbps
[UE 9 | RB 1] Throughput = 1.67465 Mbps
[UE 10 | RB 1] Throughput = 1.49523 Mbps
[UE 1 | RB 1] Throughput = 1.43049 Mbps
[UE 4 | RB 1] Throughput = 1.54493 Mbps
[UE 7 | RB 1] Throughput = 0.85830 Mbps
[UE 9 | RB 1] Throughput = 1.14440 Mbps
[UE 10 | RB 1] Throughput = 1.31606 Mbps
[UE 1 | RB 1] Throughput = 1.43586 Mbps
[UE 4 | RB 1] Throughput = 1.25638 Mbps
[UE 7 | RB 1] Throughput = 0.89741 Mbps
[UE 9 | RB 1] Throughput = 1.49569 Mbps
[UE 10 | RB 1] Throughput = 1.25638 Mbps
[UE 1 | RB 1] Throughput = 1.37065 Mbps
[UE 4 | RB 1] Throughput = 1.14221 Mbps
[UE 7 | RB 1] Throughput = 1.54198 Mbps
[UE 9 | RB 1] Throughput = 1.31354 Mbps
[UE 10 | RB 1] Throughput = 1.54198 Mbps
[UE 1 | RB 1] Throughput = 1.37676 Mbps
[UE 4 | RB 1] Throughput = 1.25704 Mbps
[UE 7 | RB 1] Throughput = 0.77817 Mbps
[UE 9 | RB 1] Throughput = 1.43662 Mbps
[UE 10 | RB 1] Throughput = 1.31690 Mbps
[UE 1 | RB 1] Throughput = 1.42821 Mbps
[UE 4 | RB 1] Throughput = 1.54247 Mbps
[UE 7 | RB 1] Throughput = 0.74267 Mbps
