[UE 10 | RB 1] Throughput = 0.29910 Mbps
[UE 1 | RB 1] Throughput = 0.34258 Mbps
[UE 7 | RB 1] Throughput = 0.28548 Mbps
[UE 8 | RB 1] Throughput = 0.28548 Mbps
[UE 9 | RB 1] Throughput = 0.22839 Mbps
[UE 10 | RB 1] Throughput = 0.22839 Mbps
[UE 1 | RB 1] Throughput = 0.28438 Mbps
[UE 7 | RB 1] Throughput = 0.45500 Mbps
[UE 8 | RB 1] Throughput = 0.28438 Mbps
[UE 9 | RB 1] Throughput = 0.28438 Mbps
[UE 10 | RB 1] Throughput = 0.34125 Mbps
[UE 1 | RB 1] Throughput = 0.17167 Mbps
[UE 7 | RB 1] Throughput = 0.34335 Mbps
[UE 8 | RB 1] Throughput = 0.40057 Mbps
[UE 9 | RB 1] Throughput = 0.45780 Mbps
[UE 10 | RB 1] Throughput = 0.28612 Mbps
[UE 1 | RB 1] Throughput = 0.51445 Mbps
[UE 7 | RB 1] Throughput = 0.51445 Mbps
[UE 8 | RB 1] Throughput = 0.34297 Mbps
[UE 9 | RB 1] Throughput = 0.28581 Mbps
[UE 10 | RB 1] Throughput = 0.17148 Mbps
[UE 1 | RB 1] Throughput = 0.22822 Mbps
[UE 7 | RB 1] Throughput = 0.34233 Mbps
[UE 8 | RB 1] Throughput = 0.22822 Mbps
[UE 9 | RB 1] Throughput = 0.34233 Mbps
[UE 10 | RB 1] Throughput = 0.22822 Mbps
[UE 1 | RB 1] Throughput = 0.41895 Mbps
[UE 7 | RB 1] Throughput = 0.11970 Mbps
[UE 8 | RB 1] Throughput = 0.41895 Mbps
[UE 9 | RB 1] Throughput = 0.35910 Mbps
[UE 10 | RB 1] Throughput = 0.35910 Mbps
[UE 1 | RB 1] Throughput = 0.29904 Mbps
[UE 7 | RB 1] Throughput = 0.41865 Mbps
[UE 8 | RB 1] Throughput = 0.29904 Mbps
[UE 9 | RB 1] Throughput = 0.23923 Mbps
[UE 10 | RB 1] Throughput = 0.35885 Mbps
[UE 1 | RB 1] Throughput = 0.40038 Mbps
[UE 7 | RB 1] Throughput = 0.45758 Mbps
[UE 8 | RB 1] Throughput = 0.34319 Mbps
[UE 9 | RB 1] Throughput = 0.34319 Mbps
[UE 10 | RB 1] Throughput = 0.22879 Mbps
[UE 1 | RB 1] Throughput = 0.40040 Mbps
[UE 7 | RB 1] Throughput = 0.28600 Mbps
[UE 8 | RB 1] Throughput = 0.40040 Mbps
[UE 9 | RB 1] Throughput = 0.40040 Mbps
[UE 10 | RB 1] Throughput = 0.40040 Mbps
[UE 2 | RB 1] Throughput = 0.15219 Mbps
[UE 4 | RB 1] Throughput = 0.14634 Mbps
[UE 6 | RB 1] Throughput = 0.14634 Mbps
[UE 3 | RB 1] Throughput = 0.15219 Mbps
[UE 5 | RB 1] Throughput = 0.15804 Mbps
[UE 1 | RB 1] Throughput = 0.29892 Mbps
[UE 7 | RB 1] Throughput = 0.65762 Mbps
[UE 8 | RB 1] Throughput = 0.35870 Mbps
[UE 9 | RB 1] Throughput = 0.41849 Mbps
[UE 10 | RB 1] Throughput = 0.41849 Mbps
[UE 1 | RB 1] Throughput = 0.41910 Mbps
[UE 7 | RB 1] Throughput = 0.35923 Mbps
[UE 8 | RB 1] Throughput = 0.41910 Mbps
[UE 9 | RB 1] Throughput = 0.47897 Mbps
[UE 10 | RB 1] Throughput = 0.41910 Mbps
[UE 1 | RB 1] Throughput = 0.59901 Mbps
[UE 7 | RB 1] Throughput = 0.47921 Mbps
[UE 8 | RB 1] Throughput = 0.53911 Mbps
[UE 9 | RB 1] Throughput = 0.53911 Mbps
[UE 10 | RB 1] Throughput = 0.47921 Mbps
[UE 1 | RB 1] Throughput = 0.45675 Mbps
[UE 7 | RB 1] Throughput = 0.74222 Mbps
[UE 8 | RB 1] Throughput = 0.45675 Mbps
[UE 9 | RB 1] Throughput = 0.39966 Mbps
[UE 10 | RB 1] Throughput = 0.34256 Mbps
[UE 1 | RB 1] Throughput = 0.41837 Mbps
[UE 7 | RB 1] Throughput = 0.35861 Mbps
[UE 8 | RB 1] Throughput = 0.47814 Mbps
[UE 9 | RB 1] Throughput = 0.35861 Mbps
[UE 10 | RB 1] Throughput = 0.59768 Mbps
[UE 1 | RB 1] Throughput = 0.51472 Mbps
[UE 7 | RB 1] Throughput = 0.51472 Mbps
[UE 8 | RB 1] Throughput = 0.62910 Mbps
[UE 9 | RB 1] Throughput = 0.74348 Mbps
[UE 10 | RB 1] Throughput = 0.45752 Mbps
[UE 1 | RB 1] Throughput = 0.53920 Mbps
[UE 7 | RB 1] Throughput = 0.41938 Mbps
[UE 8 | RB 1] Throughput = 0.41938 Mbps
[UE 9 | RB 1] Throughput = 0.47929 Mbps
[UE 10 | RB 1] Throughput = 0.35947 Mbps
[UE 1 | RB 1] Throughput = 0.41921 Mbps
[UE 7 | RB 1] Throughput = 0.47910 Mbps
[UE 8 | RB 1] Throughput = 0.47910 Mbps
[UE 9 | RB 1] Throughput = 0.35932 Mbps
[UE 10 | RB 1] Throughput = 0.53899 Mbps
[UE 1 | RB 1] Throughput = 0.57225 Mbps
[UE 7 | RB 1] Throughput = 0.40057 Mbps
[UE 8 | RB 1] Throughput = 0.51502 Mbps
[UE 9 | RB 1] Throughput = 0.40057 Mbps
[UE 10 | RB 1] Throughput = 0.40057 Mbps
[UE 1 | RB 1] Throughput = 0.41925 Mbps
[UE 7 | RB 1] Throughput = 0.59893 Mbps
[UE 8 | RB 1] Throughput = 0.59893 Mbps
[UE 9 | RB 1] Throughput = 0.65882 Mbps
[UE 10 | RB 1] Throughput = 0.59893 Mbps
[UE 2 | RB 1] Throughput = 0.22834 Mbps
[UE 4 | RB 1] Throughput = 0.22834 Mbps
[UE 6 | RB 1] Throughput = 0.22834 Mbps
[UE 3 | RB 1] Throughput = 0.22834 Mbps
[UE 5 | RB 1] Throughput = 0.22834 Mbps
[UE 1 | RB 1] Throughput = 0.65807 Mbps
[UE 7 | RB 1] Throughput = 0.53842 Mbps
[UE 8 | RB 1] Throughput = 0.59825 Mbps
[UE 9 | RB 1] Throughput = 0.65807 Mbps
[UE 10 | RB 1] Throughput = 0.77772 Mbps
[UE 1 | RB 1] Throughput = 0.77819 Mbps
[UE 7 | RB 1] Throughput = 0.83805 Mbps
[UE 8 | RB 1] Throughput = 0.59861 Mbps
[UE 9 | RB 1] Throughput = 0.65847 Mbps
[UE 10 | RB 1] Throughput = 0.41903 Mbps
[UE 1 | RB 1] Throughput = 0.62818 Mbps
[UE 7 | RB 1] Throughput = 0.57107 Mbps
[UE 8 | RB 1] Throughput = 0.57107 Mbps
[UE 9 | RB 1] Throughput = 0.57107 Mbps
[UE 10 | RB 1] Throughput = 0.79950 Mbps
[UE 1 | RB 1] Throughput = 0.39970 Mbps
[UE 7 | RB 1] Throughput = 0.62810 Mbps
[UE 8 | RB 1] Throughput = 0.62810 Mbps
[UE 9 | RB 1] Throughput = 0.57100 Mbps
[UE 10 | RB 1] Throughput = 0.22840 Mbps
[UE 1 | RB 1] Throughput = 0.59901 Mbps
[UE 7 | RB 1] Throughput = 0.89852 Mbps
[UE 8 | RB 1] Throughput = 0.35941 Mbps
[UE 9 | RB 1] Throughput = 0.47921 Mbps
[UE 10 | RB 1] Throughput = 0.65891 Mbps
[UE 1 | RB 1] Throughput = 0.53825 Mbps
[UE 7 | RB 1] Throughput = 0.71767 Mbps
[UE 8 | RB 1] Throughput = 0.59806 Mbps
[UE 9 | RB 1] Throughput = 0.59806 Mbps
[UE 10 | RB 1] Throughput = 0.59806 Mbps
[UE 1 | RB 1] Throughput = 0.71773 Mbps
[UE 7 | RB 1] Throughput = 0.41867 Mbps
[UE 8 | RB 1] Throughput = 0.83735 Mbps
[UE 9 | RB 1] Throughput = 0.77754 Mbps
[UE 10 | RB 1] Throughput = 0.41867 Mbps
[UE 1 | RB 1] Throughput = 0.62977 Mbps
[UE 7 | RB 1] Throughput = 0.97328 Mbps
[UE 8 | RB 1] Throughput = 0.68702 Mbps
[UE 9 | RB 1] Throughput = 0.74428 Mbps
[UE 10 | RB 1] Throughput = 0.57252 Mbps
[UE 1 | RB 1] Throughput = 0.71819 Mbps
[UE 7 | RB 1] Throughput = 0.53864 Mbps
[UE 8 | RB 1] Throughput = 0.77804 Mbps
[UE 9 | RB 1] Throughput = 0.65834 Mbps
[UE 10 | RB 1] Throughput = 0.47879 Mbps
[UE 1 | RB 1] Throughput = 0.83840 Mbps
[UE 7 | RB 1] Throughput = 0.47909 Mbps
[UE 8 | RB 1] Throughput = 0.77852 Mbps
[UE 9 | RB 1] Throughput = 0.77852 Mbps
[UE 10 | RB 1] Throughput = 0.95817 Mbps
[UE 2 | RB 1] Throughput = 0.16968 Mbps
[UE 4 | RB 1] Throughput = 0.14628 Mbps
[UE 6 | RB 1] Throughput = 0.14628 Mbps
[UE 3 | RB 1] Throughput = 0.14042 Mbps
[UE 5 | RB 1] Throughput = 0.14042 Mbps
[UE 1 | RB 1] Throughput = 0.77864 Mbps
[UE 7 | RB 1] Throughput = 1.07811 Mbps
[UE 8 | RB 1] Throughput = 0.83853 Mbps
[UE 9 | RB 1] Throughput = 0.77864 Mbps
[UE 10 | RB 1] Throughput = 0.71874 Mbps
[UE 1 | RB 1] Throughput = 0.53927 Mbps
[UE 7 | RB 1] Throughput = 0.83886 Mbps
[UE 8 | RB 1] Throughput = 0.47935 Mbps
[UE 9 | RB 1] Throughput = 0.47935 Mbps
[UE 10 | RB 1] Throughput = 0.77894 Mbps
[UE 1 | RB 1] Throughput = 0.79982 Mbps
[UE 7 | RB 1] Throughput = 0.51417 Mbps
[UE 8 | RB 1] Throughput = 0.85695 Mbps
[UE 9 | RB 1] Throughput = 0.85695 Mbps
[UE 10 | RB 1] Throughput = 0.74269 Mbps
[UE 1 | RB 1] Throughput = 1.08532 Mbps
[UE 7 | RB 1] Throughput = 1.25669 Mbps
[UE 8 | RB 1] Throughput = 0.74259 Mbps
[UE 9 | RB 1] Throughput = 1.02820 Mbps
[UE 10 | RB 1] Throughput = 0.68547 Mbps
[UE 1 | RB 1] Throughput = 0.91276 Mbps
[UE 7 | RB 1] Throughput = 0.79866 Mbps
[UE 8 | RB 1] Throughput = 1.25504 Mbps
[UE 9 | RB 1] Throughput = 0.85571 Mbps
[UE 10 | RB 1] Throughput = 0.85571 Mbps
[UE 2 | RB 1] Throughput = 0.72469 Mbps
[UE 4 | RB 1] Throughput = 0.58443 Mbps
[UE 6 | RB 1] Throughput = 0.58443 Mbps
[UE 3 | RB 1] Throughput = 0.59612 Mbps
[UE 5 | RB 1] Throughput = 0.59612 Mbps
[UE 1 | RB 1] Throughput = 0.95831 Mbps
[UE 7 | RB 1] Throughput = 1.25779 Mbps
[UE 8 | RB 1] Throughput = 0.89842 Mbps
[UE 9 | RB 1] Throughput = 0.89842 Mbps
[UE 10 | RB 1] Throughput = 0.89842 Mbps
[UE 1 | RB 1] Throughput = 0.85633 Mbps
[UE 7 | RB 1] Throughput = 0.68506 Mbps
[UE 8 | RB 1] Throughput = 0.85633 Mbps
[UE 9 | RB 1] Throughput = 1.02760 Mbps
[UE 10 | RB 1] Throughput = 0.62798 Mbps
[UE 1 | RB 1] Throughput = 0.91509 Mbps
[UE 7 | RB 1] Throughput = 0.97229 Mbps
[UE 8 | RB 1] Throughput = 0.85790 Mbps
[UE 9 | RB 1] Throughput = 1.02948 Mbps
[UE 10 | RB 1] Throughput = 1.25825 Mbps
[UE 1 | RB 1] Throughput = 0.95804 Mbps
[UE 7 | RB 1] Throughput = 1.37718 Mbps
[UE 8 | RB 1] Throughput = 1.01791 Mbps
[UE 9 | RB 1] Throughput = 0.59877 Mbps
[UE 10 | RB 1] Throughput = 0.77840 Mbps
[UE 1 | RB 1] Throughput = 0.65671 Mbps
[UE 7 | RB 1] Throughput = 0.65671 Mbps
[UE 8 | RB 1] Throughput = 0.71641 Mbps
[UE 9 | RB 1] Throughput = 1.07462 Mbps
[UE 10 | RB 1] Throughput = 0.95521 Mbps
[UE 2 | RB 1] Throughput = 0.74965 Mbps
[UE 4 | RB 1] Throughput = 0.61736 Mbps
[UE 6 | RB 1] Throughput = 0.61736 Mbps
[UE 3 | RB 1] Throughput = 0.62839 Mbps
[UE 5 | RB 1] Throughput = 0.61736 Mbps
[UE 1 | RB 1] Throughput = 1.03153 Mbps
[UE 7 | RB 1] Throughput = 0.91692 Mbps
[UE 8 | RB 1] Throughput = 0.97423 Mbps
[UE 9 | RB 1] Throughput = 0.91692 Mbps
[UE 10 | RB 1] Throughput = 0.74500 Mbps
[UE 2 | RB 1] Throughput = 2.48243 Mbps
[UE 4 | RB 1] Throughput = 2.54154 Mbps
[UE 6 | RB 1] Throughput = 2.65975 Mbps
[UE 3 | RB 1] Throughput = 2.48243 Mbps
[UE 5 | RB 1] Throughput = 2.48243 Mbps
[UE 1 | RB 1] Throughput = 1.19345 Mbps
[UE 7 | RB 1] Throughput = 1.07410 Mbps
[UE 8 | RB 1] Throughput = 1.01443 Mbps
[UE 9 | RB 1] Throughput = 0.77574 Mbps
[UE 10 | RB 1] Throughput = 0.89509 Mbps
[UE 1 | RB 1] Throughput = 0.65836 Mbps
[UE 7 | RB 1] Throughput = 1.07731 Mbps
[UE 8 | RB 1] Throughput = 1.07731 Mbps
[UE 9 | RB 1] Throughput = 1.07731 Mbps
[UE 10 | RB 1] Throughput = 1.07731 Mbps
[UE 1 | RB 1] Throughput = 1.08814 Mbps
[UE 7 | RB 1] Throughput = 0.74452 Mbps
[UE 8 | RB 1] Throughput = 1.08814 Mbps
