Time_ms,UE_ID,Mean_SNR_dB,Std_SNR_dB,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
13300,30556,58.12068965517241,14.431275047873944,19.033896551724137,4.663757492966586
13300,33952,26.25862068965517,27.497279310108627,8.77455172413793,8.86265950727387
13300,36997,63.5,0.0,20.778,0.0
13300,40252,56.0,0.0,18.324,0.0
13300,45898,63.5,0.0,20.778,0.0
13300,48787,63.5,0.0,20.778,0.0
13400,12169,62.63793103448276,3.4405578651790356,20.495896551724137,1.1258806821083778
13400,15599,52.5,0.0,17.179,0.0
13400,20945,59.689655172413794,5.345915986432086,19.531310344827588,1.749107529640847
13400,22873,62.5,2.279567628176135,20.450793103448277,0.7458808014359527
13400,30556,58.46551724137931,14.436394382207098,19.146724137931034,4.665052471734845
13400,33952,26.25862068965517,27.497279310108627,8.77455172413793,8.86265950727387
13400,36997,63.5,0.0,20.778,0.0
13400,40252,56.0,0.0,18.324,0.0
13400,45898,63.5,0.0,20.778,0.0
13400,48787,63.5,0.0,20.778,0.0
13500,12169,63.214285714285715,1.5118578920369083,20.684499999999996,0.4947554951690769
13500,15599,52.5,0.0,17.179,0.0
13500,20945,59.55357142857143,5.392620619221897,19.486785714285713,1.7643886436140663
13500,22873,62.464285714285715,2.313121073469588,20.439107142857143,0.7568595123459648
13500,30556,58.517857142857146,14.698502155269619,19.16442857142857,4.749664662069985
13500,33952,26.964285714285715,27.733162583418192,9.001714285714286,8.93890175065911
13500,36997,63.5,0.0,20.778,0.0
13500,40252,56.0,0.0,18.324,0.0
13500,45898,63.5,0.0,20.778,0.0
13500,48787,63.5,0.0,20.778,0.0
13600,12169,63.18,1.5999999999999996,20.67328,0.5235999999999984
13600,15599,52.5,0.0,17.179,0.0
13600,20945,59.96,5.267668681051735,19.61976,1.7235111758655157
13600,22873,62.34,2.42263630507484,20.398439999999997,0.792692935505294
13600,30556,59.76,11.442901729893515,19.56356,3.699959099773942
13600,33952,27.14,27.833777441566685,9.05768,8.97183526710115
13600,36997,63.5,0.0,20.778,0.0
13600,40252,56.0,0.0,18.324,0.0
13600,45898,63.5,0.0,20.778,0.0
13600,48787,63.5,0.0,20.778,0.0
13700,12169,63.2037037037037,1.5396007178390017,20.681037037037033,0.5038343349128119
13700,15599,52.5,0.0,17.179,0.0
13700,20945,59.0,5.5313790184866045,19.305666666666664,1.809786557750771
13700,22873,62.425925925925924,2.348091302213941,20.426555555555552,0.7683017903308837
13700,30556,59.666666666666664,11.086200708711987,19.53233333333333,3.585412893292014
13700,33952,25.61111111111111,27.30325893951029,8.565555555555555,8.800327368619408
13700,36997,63.5,0.0,20.778,0.0
13700,40252,56.0,0.0,18.324,0.0
13700,45898,63.5,0.0,20.778,0.0
13700,48787,63.5,0.0,20.778,0.0
13800,12169,63.224137931034484,1.4855627054164144,20.687724137931035,0.48615039534752025
