Time_ms,UE_ID,Mean_SE,Std_SE,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
300,17950,56.97931034482759,2.4216982388605435,18.644206896551722,0.7924009496487121
300,32893,61.872262773722625,1.3023354579303925,20.245211678832117,0.42617832224779817
300,33135,53.26642335766423,2.8797964257584914,17.429729927007298,0.9422302161750349
300,38070,62.06751824817518,3.1264562393997943,20.309229927007298,1.0231167824852274
300,64248,55.518248175182485,4.63914257232038,18.16641605839416,1.5178762860219899
300,65104,53.85344827586207,4.435240111905615,17.62144827586207,1.4513041882377111
400,1382,55.47586206896552,3.7777032230985084,18.15248620689655,1.2360601832539149
400,2609,57.34137931034483,2.10716642438486,18.762458620689653,0.6896306067122852
400,5794,63.5,0.0,20.778,0.0
400,16233,60.189655172413794,1.5135706374180655,19.694689655172414,0.49531599109506136
400,17950,56.97931034482759,2.4249109868934,18.644217241379312,0.7934423780679779
400,32893,61.87828947368421,1.2334671819167868,20.24718092105263,0.4036414898248938
400,33135,53.151315789473685,2.679551877270562,17.392069078947365,0.8767134238481719
400,38070,62.34375,2.8207319024229363,20.399628289473686,0.923060344359499
400,64248,55.41282894736842,4.634117973939274,18.131947368421052,1.5162231315606316
400,65104,53.939655172413794,4.3754165261008335,17.64966206896552,1.431727331527709
500,1382,55.44827586206897,3.771925126827298,18.14344827586207,1.2341652709424606
500,2609,57.34655172413793,2.1044700750125456,18.76415172413793,0.688748560053854
500,5794,63.5,0.0,20.778,0.0
500,16233,60.189655172413794,1.5135706374180655,19.694689655172414,0.49531599109506136
500,17950,56.98620689655172,2.421390280665589,18.646472413793102,0.7922911637546513
500,32893,61.80797101449275,1.263936799006994,20.22415579710145,0.4136103229796853
500,33135,53.28623188405797,2.940245927351485,17.436199275362316,0.9620132375574848
500,38070,62.76449275362319,2.2860780460593593,20.537318840579708,0.7480786928514167
500,64248,55.35507246376812,4.695530911428914,18.11310144927536,1.5363003318591775
500,65104,53.94655172413793,4.369967318622357,17.651917241379312,1.4299452284787384
600,1382,55.52068965517241,3.7674052188852216,18.167137931034485,1.2326852485876796
600,2609,57.36206896551724,2.0999940341163263,18.769241379310344,0.6872810204348675
600,5794,63.5,0.0,20.778,0.0
600,16233,60.189655172413794,1.5135706374180655,19.694689655172414,0.49531599109506136
600,17950,57.08965517241379,2.452785271895013,18.680310344827586,0.8025661310461004
600,32893,61.8125,1.1979251865100975,20.225634868421054,0.3920080674996395
600,33135,53.13651315789474,2.684501849141497,17.387213815789472,0.8783379239150342
600,38070,62.963815789473685,1.972669677296092,20.602546052631578,0.6455124639435544
600,64248,55.35032894736842,4.699708567295334,18.11154934210526,1.5376671491528058
600,65104,53.936206896551724,4.375169725857049,17.648524137931034,1.4316519849424756
700,1382,55.474137931034484,3.7711599247633374,18.151910344827588,1.2339148093122214
700,2609,57.36206896551724,2.0999940341163263,18.769241379310344,0.6872810204348675
700,5794,63.5,0.0,20.778,0.0
700,16233,60.189655172413794,1.5135706374180655,19.694689655172414,0.49531599109506136
700,17950,57.10689655172414,2.5020311519753697,18.68596551724138,0.81866650297754
700,32893,61.82608695652174,1.2009877357833323,20.230083333333333,0.39301136270103215
700,33135,53.20471014492754,2.8085479113278384,17.40952536231884,0.9189243253489647
700,38070,63.052536231884055,1.8080509090154433,20.631579710144926,0.5916367904424185
700,64248,55.59239130434783,4.862058681721762,18.190764492753623,1.590780702207716
700,65104,53.939655172413794,4.373439005955603,17.64965517241379,1.4310841892799526
800,1382,55.46551724137931,3.7778516681237337,18.149103448275863,1.236107444989714
800,2609,57.36206896551724,2.0999940341163263,18.769241379310344,0.6872810204348675
800,5794,63.5,0.0,20.778,0.0
800,16233,60.189655172413794,1.5135706374180655,19.694689655172414,0.49531599109506136
800,17950,57.06551724137931,2.524108786098881,18.67244827586207,0.8258785648566902
