Time_ms,UE_ID,SNR_total_linear,Mean_UL_SE_bit_per_s_Hz
25700,UE0,1144280620.7106595,28.587204066224434
25800,UE0,1217530879.8307908,28.672245657610492
25900,UE0,1161152586.886265,28.607264903016215
26000,UE0,1230047141.0783682,28.686263139384135
26100,UE0,1148658851.8551838,28.592438078810755
26200,UE0,1209031312.1898272,28.662644240798254
26300,UE0,1150247508.3246322,28.59433232718212
26400,UE0,1206792591.051259,28.6601040695863
26500,UE0,1138186563.9903646,28.579885413816896
26600,UE0,1196560103.3752422,28.648433434622028
26700,UE0,1153469873.6965218,28.598166520495784
26800,UE0,1205393250.5804071,28.658513909607432
26900,UE0,1161630430.0160708,28.607828806593876
27000,UE0,1209870692.857544,28.663595434234967
27100,UE0,1154914266.6003659,28.599881683737102
27200,UE0,1202360201.2071147,28.65506091551667
27300,UE0,1153469873.6965218,28.598166520495784
27400,UE0,1196726893.157343,28.64862446516073
27500,UE0,1144297715.1699424,28.58722454093283
27600,UE0,1196221092.0538273,28.648045070271618
27700,UE0,1140976138.6654406,28.58324040218501
27800,UE0,1197376957.8264625,28.64936875437898
27900,UE0,1139964536.45841,28.582024709100246
28000,UE0,1190949321.5419664,28.641991634778275
28100,UE0,1140470337.5619254,28.58263269043327
28200,UE0,1206981907.0498557,28.660319059835174
28300,UE0,1152675545.4617977,28.59722236947401
28400,UE0,1213553806.8999562,28.667761385126937
28500,UE0,1140790241.5587006,28.583017081169448
28600,UE0,1198270497.193799,28.650391149912675
28700,UE0,1133891599.9281116,28.57470380141859
28800,UE0,1204598922.3456829,28.65761044213101
28900,UE0,1160186037.112227,28.606123566031417
29000,UE0,1222725965.4265356,28.678081263628385
29100,UE0,1160688419.3238854,28.606716915764206
29200,UE0,1217191868.5093763,28.671863983386984
29300,UE0,1142881280.2398076,28.585526982746654
29400,UE0,1200220691.2011583,28.652619933626166
29500,UE0,1136742171.0865207,28.578145027149617
29600,UE0,1184332369.2588735,28.63435552532685
29700,UE0,1105471328.3054667,28.53991373979673
29800,UE0,1149986843.5633912,28.594021700770178
29900,UE0,1095459789.1111703,28.527444914608832
30000,UE0,1152510672.941312,28.59702631786856
30100,UE0,1089393690.3645852,28.519834358126406
30200,UE0,1161827095.0334964,28.608060823973663
30300,UE0,1098995220.6961217,28.531861069235365
30400,UE0,1155210142.7504034,28.60023276102271
30500,UE0,1087759981.4621444,28.51777745512282
30600,UE0,1153765749.8465595,28.598518037349454
30700,UE0,1082632474.5158877,28.51130160284104
30800,UE0,1156798799.219852,28.602116274335234
30900,UE0,1097076403.5543284,28.529466015072373
31000,UE0,1161493515.469295,28.607667257192954
31100,UE0,1112603187.958702,28.548727399780454
31200,UE0,1180414886.784872,28.629814531946252
31300,UE0,1081838146.2811637,28.51029565268193
31400,UE0,1156798799.219852,28.602116274335234
31500,UE0,1082632474.5158877,28.51130160284104
31600,UE0,1156148734.5507321,28.60134586961973
31700,UE0,1075266246.4310632,28.50194444552928
31800,UE0,1130511199.81945,28.570611733004373
31900,UE0,1081620872.3088574,28.51002036475051
32000,UE0,1131955592.723294,28.572361705935883
32100,UE0,1065299759.6697593,28.489181681259957
32200,UE0,1121989105.96199,28.560240947163773
32300,UE0,1067682744.3739321,28.492244083838546
32400,UE0,1128922543.3500013,28.568684391843686
32500,UE0,1101218253.401907,28.534630619933264
32600,UE0,1152727946.9136186,28.597284674705293
32700,UE0,1109903718.149611,28.54539801715656
32800,UE0,1163921552.60646,28.610529346230035
32900,UE0,1105426275.8724742,28.53985788277702
33000,UE0,1166160273.7450285,28.613162990419795
33100,UE0,1105426275.8724742,28.53985788277702
33200,UE0,1161682831.4678917,28.60789063153164
33300,UE0,1106220604.1071987,28.540842375184468
33400,UE0,1165365945.5103042,28.612229117348143
33500,UE0,1104795318.5279942,28.53907536838552
33600,UE0,1186715353.9630466,28.63711044693335
33700,UE0,1112549029.2590823,28.548660682760048
33800,UE0,1179204862.3126173,28.628408871873432
33900,UE0,1148297314.3172731,28.59200663044152
34000,UE0,1201159283.0014873,28.653691314854647
34100,UE0,1138372461.097105,28.580109245652437
34200,UE0,1195282500.2534988,28.646969264474727
34300,UE0,1141770466.9001648,28.58419423102887
34400,UE0,1204598922.3456829,28.65761044213101
34500,UE0,1142853322.2660983,28.585493454717238
34600,UE0,1190154993.3072424,28.641077206319594
34700,UE0,1143503386.935218,28.5862728194072
34800,UE0,1205537514.1460118,28.658677930837
34900,UE0,1148041570.07813,28.59170135067485
35000,UE0,1223059544.9907372,28.67845512380899
35100,UE0,1167308790.498835,28.614512150435434
35200,UE0,1246314095.0178466,28.70426952830032
35300,UE0,1175830884.3562949,28.62448176089961
35400,UE0,1232375967.0829215,28.688855543085932
35500,UE0,1170991904.5412474,28.618829759395545
35600,UE0,1215324941.5842884,28.66976020643023
35700,UE0,1144659252.707853,28.587657497081004
35800,UE0,1199109877.8615158,28.651350882350975
35900,UE0,1135992895.2847886,28.577241333876486
36000,UE0,1195426763.8191032,28.64713467305635
36100,UE0,1130215323.6694124,28.57025298452294
36200,UE0,1196221092.0538275,28.648045070271618
36300,UE0,1138231616.423357,28.57993966314249
36400,UE0,1193982370.9152591,28.64547767110872
36500,UE0,1137437288.1886327,28.578982867735327
36600,UE0,1195426763.8191032,28.64713467305635
36700,UE0,1126026408.5234847,28.565163842467104
36800,UE0,1178888377.2076988,28.62804097978861
36900,UE0,1132454044.8079808,28.572965093796693
37000,UE0,1188710600.4033983,28.639412860252847
37100,UE0,1140470337.5619254,28.58263269043327
37200,UE0,1199904206.09624,28.65225848417039
37300,UE0,1132777367.6966124,28.573356341694637
37400,UE0,1177904732.9743776,28.62689693044813
37500,UE0,1114137685.728531,28.55061636859809
37600,UE0,1164905196.8397813,28.611687134205354
37700,UE0,1105471328.3054667,28.53991373979673
37800,UE0,1167938246.213074,28.61525100762023
37900,UE0,1106409920.1057954,28.541076909588003
38000,UE0,1143745104.3856356,28.58656250226489
38100,UE0,1099982283.8212996,28.533091486198522
38200,UE0,1153061526.4778197,28.59768123381178
38300,UE0,1101727473.3972788,28.53526424127695
38400,UE0,1154099329.4107609,28.598914239805797
38500,UE0,1083327591.618,28.512181305050674
38600,UE0,1146733101.3259358,28.59013837760731
38700,UE0,1078632875.368557,28.506228928154894
38800,UE0,1143844315.5182476,28.586681382722503
38900,UE0,1089393690.3645852,28.519834358126406
39000,UE0,1151066280.037468,28.59530757536191
