Time_ms,UE_ID,Mean_SNR_dB,Mean_UL_SE_bit_per_s_Hz
40700,2,916773912.3166854,28.283391214472847
40800,2,979458104.196599,28.37403811667236
40900,2,916773912.3166854,28.283391214472847
41000,2,979458104.1965989,28.37403811667236
41100,2,903755429.5746403,28.263789311686914
41200,2,965527182.9299521,28.354404555336643
41300,2,887585787.1694252,28.239045760364597
41400,2,954747421.3264754,28.339016684949023
41500,2,889824508.3079935,28.242498315936302
41600,2,961463584.7421803,28.348624128518537
41700,2,887193206.1602025,28.238439424644387
41800,2,954816375.3495893,28.339115666345656
41900,2,897065845.0091133,28.253606711951097
42000,2,959336192.7996618,28.345588184701285
42100,2,907845606.6125901,28.269978139833626
42200,2,977245961.9082086,28.370939154785507
42300,2,909649296.0753255,28.272698440128504
42400,2,978179588.0192782,28.372247914373343
42500,2,915951615.4016654,28.282161343927896
42600,2,986237905.8653822,28.383492440965767
42700,2,923532450.9053264,28.293458045104803
42800,2,998348840.2784103,28.400220328356962
42900,2,899656230.4638436,28.257558666392377
43000,2,969491617.4352951,28.36002052567917
43100,2,897852541.0011082,28.254808119616502
43200,2,973969059.7124317,28.366335668047267
43300,2,891136377.5854032,28.244517446477783
43400,2,981985352.4663763,28.377569952392708
43500,2,907819027.7624121,28.269938013572585
43600,2,981696825.3351673,28.377167194924926
43700,2,914535191.1781172,28.28004027408865
43800,2,972741940.7808938,28.364607788872746
43900,2,921251354.5938221,28.29006861638124
44000,2,974980661.9194622,28.36775844660411
44100,2,923490075.7323904,28.293395157155825
44200,2,979458104.1965989,28.37403811667236
44300,2,910057748.9009805,28.27331371414532
44400,2,981696825.3351672,28.377167194924926
44500,2,914535191.1781172,28.28004027408865
44600,2,990651709.8894407,28.38961255461884
44700,2,912296470.0395488,28.27668112076537
44800,2,987521737.8127385,28.38527540307729
44900,2,919055008.6281897,28.286797176313254
45000,2,995171527.3395132,28.39585147144131
45100,2,930248614.3210313,28.303389042144225
45200,2,997410248.4780815,28.398931198070883
45300,2,905580306.6238438,28.266553978090105
45400,2,995129152.1665773,28.39579311068225
45500,2,901102864.3467071,28.259760737044008
45600,2,983935546.4737356,28.380289145558116
45700,2,908710278.7005459,28.271282900479196
45800,2,983500590.2915771,28.37968314501902
45900,2,898728908.5652623,28.25614523091316
46000,2,970598752.5156174,28.361584778110018
46100,2,910153281.7742722,28.27345758049948
46200,2,977314915.9313223,28.371035857473924
46300,2,907914560.6357038,28.27008223468875
46400,2,961643867.961344,28.34888109702131
46500,2,912392002.9128406,28.276824634098556
46600,2,972375938.6218492,28.36409200724785
46700,2,895498163.3389072,28.25120947226749
46800,2,968222123.3308213,28.35822467893767
46900,2,903299210.3123395,28.263097272826872
47000,2,958333612.6654782,28.344155094772933
47100,2,885347066.0308568,28.235584485548586
47200,2,945792536.772202,28.326101092281018
47300,2,894301950.5851302,28.249377444292
47400,2,963702305.8807487,28.351811701792233
47500,2,902864178.6365066,28.262437047784328
47600,2,981696825.3351673,28.377167194924926
47700,2,920837510.5044571,28.289452795620004
47800,2,997410248.4780816,28.398931198070887
47900,2,928009893.182463,28.300086698838303
48000,2,990694085.0623765,28.389671179145015
48100,2,936964777.7367363,28.313248597133608
48200,2,989325427.275474,28.387776421748004
48300,2,910057748.9009805,28.27331371414532
48400,2,974980661.9194622,28.36775844660411
48500,2,914142610.1688945,28.279451809626863
48600,2,981765779.3582811,28.37726345919352
48700,2,923559029.7555044,28.293497488648256
48800,2,977288337.0811443,28.37099858349877
48900,2,921320308.616936,28.290171196538815
49000,2,990720663.9125545,28.389707948747702
