Time_s,Stream_ID,Mean_Kbps,Std_Kbps,Mean_Latency_ms,Std_Latency_ms
9,9,379.275,230.74784758837222,48.2835,41.401002737453915
9,10,497.0,169.6132856431555,29.7785,8.441034869414214
9,11,682.0,,21.215,
9,67,694.0,,21.126,
9,77,788.0,,22.098,
9,81,800.0,,21.758,
9,82,764.0,,21.868,
9,84,694.0,,22.031,
10,1,376.5,313.65108002364667,66.37,50.44584584813038
10,2,432.275,275.7324231327659,48.01475,43.330503215594746
10,3,426.25,279.14676545979654,49.14475,40.11905445358851
10,4,417.75,282.071356220372,49.08725,40.217704272082294
10,5,482.25,202.83716786296011,28.079,7.2024656889151535
10,6,376.5,314.6950905241453,65.69775,50.263247078921054
10,7,370.575,321.63227838635845,65.8275,48.88144920451247
10,8,526.25,165.67714587916666,29.7595,6.792591724322413
10,9,444.25,265.33547947205756,47.11125,41.45495787297341
10,10,467.75,159.98828082081513,29.1915,5.961813957736916
10,11,588.0,,23.014,
10,67,682.0,,22.901,
10,77,600.0,,23.776,
10,81,529.0,,23.709,
10,82,529.0,,23.377,
10,84,600.0,,23.54,
11,1,356.025,288.85267727107305,63.93975,47.9444851355885
11,2,435.25,273.4683101689603,47.2425,42.639438321034824
11,3,429.5,265.40221049066895,45.930499999999995,36.93573184600516
11,4,397.25,247.87009366467214,45.932249999999996,36.76694717972471
11,5,470.75,156.90203950235957,27.74025,6.77837563506184
11,6,385.25,316.8883872911723,62.8815,47.20407393082366
11,7,385.25,316.8883872911723,62.80775,45.506506394690426
11,8,488.0,122.59418148237434,29.6085,7.312724366928286
11,9,423.5,237.8704129002456,46.005,40.666362135471786
11,10,511.5,161.09934822959403,28.713,6.082150990124022
11,11,694.0,,21.666,
11,67,600.0,,22.914,
11,77,623.0,,21.806,
11,81,694.0,,22.041,
11,82,694.0,,21.742,
11,84,706.0,,22.551,
12,1,376.525,322.202062635649,63.3985,47.01247029246602
12,2,455.775,263.8133225723574,45.9095,42.95447480375784
12,3,391.0,228.2206534620972,45.93825,36.432628612046834
12,4,408.75,256.9323841013429,46.08925,36.167604467488125
12,5,491.0,191.6698550459444,29.721,9.753199919342709
12,6,370.575,321.6322783863585,63.30975,47.7873738999121
12,7,338.025,271.5101026358565,63.44475,46.417019941504215
12,8,488.0,164.7118696390761,27.534750000000003,4.782511012358814
12,9,447.025,269.8823246651523,46.69525,42.39520334011856
12,10,455.5,143.46776641462012,28.50975,5.950647212698797
12,11,612.0,,23.374,
12,67,694.0,,22.833,
12,77,600.0,,22.667,
12,81,600.0,,22.591,
12,82,612.0,,23.174,
12,84,600.0,,24.073,
13,1,382.275,327.67825047343825,64.90975,47.18247372612702
13,2,456.0,254.00787389370433,44.784,38.08021106384085
13,3,447.0,260.8831155901048,44.742999999999995,38.13504189936949
13,4,452.75,270.33728932576065,44.316,38.37892354752367
13,5,529.25,154.69620766737194,29.0355,6.011751963169027
13,6,379.5,318.76166645316687,64.383,47.2643365974812
13,7,373.525,318.1420581543199,63.707,48.00779581831823
13,8,553.0,162.81277591147446,25.38825,4.494440000341163
13,9,450.025,267.67194318169896,47.01175,40.702610140505726
13,10,541.0,176.6691823720255,27.478,5.9154569843194125
13,11,600.0,,22.768,
13,67,529.0,,30.552,
13,77,694.0,,22.061,
13,81,694.0,,22.749,
13,82,670.0,,22.73,
13,84,612.0,,20.361,
14,1,382.5,307.8197524526326,61.11625,44.482248364750326
14,2,435.5,239.04462623814268,44.47425,37.00997982864442
14,3,438.25,267.9830529467613,44.284749999999995,37.390188172611985
14,4,464.5,289.6820095668122,43.4715,37.868336241069095
14,5,520.5,159.30160074525304,28.136,6.216423623488565
14,6,367.5,288.86271248928387,61.327000000000005,44.546100240836644
14,7,379.5,311.2956793789467,62.341499999999996,46.011489974425594
14,8,546.75,132.2532293241517,25.4755,4.313282470076204
14,9,482.0,254.13775791881065,44.652,36.308672829871746
14,10,529.0,108.98317913023703,26.08625,4.686963293718724
14,11,694.0,,21.023,
14,67,706.0,,19.824,
14,81,670.0,,20.717,
14,82,694.0,,22.482,
15,1,361.525,296.7442824498337,62.23325,39.49890284868681
15,2,458.75,224.25487731596832,42.48125,32.32548202656845
15,3,470.25,256.6416113311843,40.42375,33.468421428514766
15,4,467.525,265.5913574773597,44.396750000000004,43.53293842119245
15,5,570.5,86.18004409374596,28.097,5.204424848146046
15,6,347.075,292.21286048586796,65.7155,47.84529219961632
15,7,352.825,306.34640931468414,65.21225,44.788749088545295
15,8,587.75,94.7993495055038,22.80275,1.4121766591565912
15,9,449.65,263.627179934088,47.327,45.66894469987237
15,10,573.5,102.70507939402671,24.39525,2.814367113579892
15,11,706.0,,21.695,
15,67,694.0,,21.042,
15,77,694.0,,22.518,
15,81,717.0,,22.239,
15,82,694.0,,21.844,
15,84,623.0,,21.587,
16,1,402.775,329.9419178683828,59.99125,42.594839064335794
16,2,455.75,228.67061464035996,39.04125,31.176901870615684
16,3,414.575,241.9170432882589,43.635,36.73838382400619
16,4,444.25,261.58539077453594,43.034,35.86761425018396
16,5,576.25,157.99657169276387,24.90475,3.3084200030628916
16,6,329.3,274.3408220930065,64.21225,47.54921165399766
16,7,388.0,313.07613557514514,61.8745,46.72347077219329
16,8,591.25,127.12559406613079,24.341250000000002,4.314289619006433
16,9,514.5,279.14333235812745,45.27625,43.777842373930056
16,10,585.25,34.03307215048326,25.759,3.396241746401455
16,11,612.0,,23.664,
16,67,706.0,,22.156,
16,77,612.0,,24.225,
16,81,529.0,,23.922,
16,82,517.0,,23.907,
16,84,600.0,,23.192,
17,1,379.0,281.78951955907326,54.3755,37.36589843248342
17,2,538.25,261.1696447394554,36.9315,27.812028842451124
17,3,514.5,255.22343152618257,40.17125,30.667374590107972
17,4,458.5,222.1268406414077,42.82025,31.493991801347338
17,5,600.0,24.0,24.7095,3.3480220528943145
17,6,411.775,333.7170495594534,59.07025,44.73401546455822
17,7,388.25,301.3794673386582,56.9105,39.90707294452951
17,8,561.5,39.09390404312845,24.2485,1.7181867380080285
17,9,461.75,238.8617103402441,41.81225,38.0505717028886
17,10,608.5,99.3327740476425,24.4555,2.1702396949031524
17,11,600.0,,22.674,
17,67,588.0,,24.018,
17,77,706.0,,22.745,
17,81,612.0,,31.818,
17,82,706.0,,23.245,
17,84,623.0,,22.736,
18,1,435.25,305.7791959350189,48.8215,30.775828659301222
18,2,476.0,232.0502819074636,38.09125,29.654574052749435
18,3,473.25,205.97633359199304,36.812,25.325378983673012
18,4,532.0,243.57887155224827,36.47175,26.01567786771405
18,5,653.0,72.23572523343277,23.195,1.4119355509370806
18,6,376.25,275.4201336140842,55.994,39.84811250235072
18,7,385.25,269.839921681973,51.922,33.14496483630658
18,8,641.25,52.27730546486369,22.67275,0.6385986611323261
18,9,555.75,268.9168086974111,38.079750000000004,32.15447913199653
18,10,597.0,55.82711408148075,23.63575,1.6694946091557172
18,11,694.0,,22.563,
18,67,635.0,,22.515,
18,77,600.0,,23.546,
18,81,670.0,,23.009,
18,82,600.0,,23.102,
18,84,694.0,,21.402,
19,1,364.5,265.09432283623124,52.46025,33.551301270094825
19,2,500.0,254.89736496611076,39.692750000000004,31.710073461231005
19,3,470.5,222.69934889891348,36.542,26.978272504616257
19,4,491.0,233.79050451205242,36.53875,25.31366415429948
19,5,614.75,31.084562084739098,23.4765,1.7535216945716223
19,6,379.25,268.3882448990641,52.81075,33.949197794891504
19,7,376.25,278.6507670902774,51.41525,32.752300900089445
19,8,632.25,42.224597886382135,22.709,1.170248691518176
19,9,482.0,242.27119790295615,37.22275,29.109765112701727
19,10,620.5,24.172987679087875,22.863,0.8679742699719466
19,11,694.0,,23.649,
19,67,600.0,,21.939,
19,77,623.0,,23.141,
19,81,612.0,,23.049,
19,82,623.0,,22.925,
19,84,600.0,,21.828,
20,1,417.5,274.0285873164818,45.26325,26.879168915413533
20,2,529.5,217.48486537381552,33.114,22.099637810003436
20,3,488.0,211.150814979878,36.264250000000004,20.886422533550355
20,4,464.75,205.98604321652473,35.734249999999996,21.701824552711383
20,5,620.5,111.20101917998174,22.444,1.3116099521834468
20,6,388.0,258.41697570657647,46.827,28.429614383596547
20,7,379.25,255.3003133566428,48.4465,29.212436968980636
20,8,644.0,73.47108274688756,23.43825,2.585895766783082
20,9,558.75,270.6773910026473,36.01,28.64453271859513
20,10,632.0,97.49188000375553,22.93875,1.6586585694470104
20,11,635.0,,24.29,
20,67,694.0,,22.059,
20,77,694.0,,21.68,
20,81,694.0,,21.744,
20,82,694.0,,22.009,
20,84,694.0,,21.74,
21,1,399.75,248.37387812194208,43.2495,22.979930802042606
21,2,561.75,248.57242405383587,32.463,20.859801165559244
21,3,476.5,191.80806378599763,34.7,18.873084379613207
21,4,517.5,234.17016604739953,34.18075,20.926937717927103
21,5,643.75,128.27671911405696,23.424500000000002,2.9256539439926934
21,6,385.0,262.8142563357881,48.992,30.26231541042424
21,7,391.25,254.93969875246972,44.3175,25.563306756625472
21,8,644.0,135.42033328369365,22.4105,2.308963042868667
21,9,538.0,280.17970423759584,35.04925,25.14776508790924
21,10,617.5,116.88598433231135,23.29625,3.5164261568624853
21,11,517.0,,23.901,
21,67,612.0,,21.667,
21,77,694.0,,22.24,
21,81,694.0,,21.686,
21,82,694.0,,21.867,
21,84,612.0,,22.843,
22,1,447.0,285.3792797897797,41.02525,22.29229118439825
22,2,614.5,288.5197855722665,30.90175,19.820424926070583
22,3,543.75,247.12260789602666,31.588250000000002,17.981265665037785
22,4,523.5,213.00625968892714,31.433,18.294528271225435
22,5,702.5,120.42563403749774,22.924500000000002,4.520644828635255
22,6,429.25,305.8511348134361,45.183499999999995,28.201848739636436
22,7,423.5,260.9131400805001,41.49225,21.555088933165333
22,8,685.0,88.4006033161916,21.71025,2.2385960443992574
22,9,594.0,273.87101586939303,32.79,21.109686165360202
22,10,688.0,86.82549548759665,22.689999999999998,2.2512366971659534
22,11,612.0,,29.36,
22,67,694.0,,22.698,
22,77,600.0,,21.875,
22,81,600.0,,22.501,
22,82,600.0,,23.253,
22,84,600.0,,24.09,
23,1,444.0,237.5752512363188,36.81925,16.448087373612776
23,2,538.25,191.36766532863732,29.453,14.438522246638216
23,3,535.0,211.81281044041378,30.805,16.119543728033992
23,4,535.25,218.54271130986425,30.54325,14.550752520631592
23,5,649.75,45.41934242882282,22.380000000000003,1.4533056572288343
23,6,432.25,250.96397483835537,38.93175,20.075246704586217
23,7,429.25,262.35265706042827,37.874249999999996,17.65729134333274
23,8,661.5,84.49260322655469,22.3915,1.4351089389543463
23,9,529.25,216.0484127844189,31.960749999999997,14.200522182300201
23,10,682.25,39.90300740545755,21.88,1.4502369921269191
23,11,682.0,,22.608,
23,67,600.0,,24.611,
23,77,623.0,,21.211,
23,81,623.0,,22.377,
23,82,694.0,,22.316,
23,84,694.0,,22.184,
24,1,438.25,216.7154432275959,32.17975,12.001694113054764
24,2,597.0,194.00000000000003,26.79275,9.935236027224851
24,3,544.0,194.16659513589525,29.556,14.00680541736766
24,4,511.5,192.6386946245916,30.73925,16.408991973406938
24,5,676.25,75.78203393065317,21.6995,1.3775210827182764
24,6,441.0,252.98880080614902,36.896,17.09648039802345
24,7,453.0,241.14311103574988,36.338,15.968923946215035
24,8,620.5,51.234753829797995,23.570500000000003,3.817057025161314
24,9,588.0,227.03156902363455,27.8675,12.16557543508184
24,10,632.0,104.00320507881796,21.687,1.4449733561557452
24,11,612.0,,21.743,
24,67,706.0,,21.587,
24,77,694.0,,21.352,
24,82,623.0,,21.801,
24,84,623.0,,29.023,
25,1,438.25,189.82162679736996,31.488,10.52541413278673
25,2,588.0,237.1652026190464,27.101,10.219023436708616
25,3,546.75,200.2254978767689,27.69675,9.707982707545376
25,4,567.5,170.87324736969993,26.410249999999998,8.442182394578627
25,5,623.5,47.00000000000001,21.992,1.5155575431723682
25,6,384.0,211.0995026048143,36.054,11.664338515320956
25,7,488.25,239.34128352626507,33.015499999999996,11.759928018487189
25,8,690.75,57.858303927209384,21.5,1.1856390681822182
25,9,558.75,216.37217165492115,27.30525,11.164482504054245
25,10,697.0,81.72310974667243,21.4165,1.1895457116059056
25,11,776.0,,21.549,
25,67,612.0,,22.622,
25,77,600.0,,22.397,
25,81,635.0,,21.93,
25,82,600.0,,22.186,
25,84,682.0,,23.036,
26,1,479.5,203.35437049643164,31.089,9.827379949237061
26,2,570.25,208.10954647332574,27.41,10.87439748522495
26,3,576.5,177.93912816840856,26.6675,8.671551860345797
26,4,559.0,167.51119365582707,27.84325,7.36993493300088
26,5,685.25,91.1166834339354,22.21475,0.841641006209496
26,6,482.25,188.4009465652088,30.17375,9.21486532276336
26,7,459.0,162.81277591147446,29.85925,8.78442748561339
26,8,664.75,38.84477656862846,24.503999999999998,2.501111886075205
26,9,573.5,190.30063934031682,26.2365,8.635367025591133
26,10,676.5,43.37049688440289,21.819,0.7179582160543899
26,11,706.0,,21.002,
26,67,600.0,,23.371,
26,77,612.0,,25.238,
26,81,600.0,,23.477,
26,82,612.0,,23.626,
26,84,612.0,,22.623,
27,1,446.75,205.2890238988274,30.652,8.716922583878636
27,2,502.5,153.47203871281133,28.80075,8.178007148240129
27,3,555.75,178.2439807305331,27.2505,8.494315609080383
27,4,576.25,227.57031880278237,27.38,11.831624684153342
27,5,626.25,85.2540321627077,23.1725,1.3472813366183027
27,6,402.75,183.270974243059,33.66725,11.150551895907817
27,7,450.0,236.78260071213003,32.268,10.15942921625029
27,8,643.75,26.119915773217958,22.253999999999998,0.9318794628777539
27,9,526.25,190.5524862078687,27.8695,8.911719119601262
27,10,629.5,43.37049688440289,23.564,1.5271797536635945
27,11,612.0,,22.235,
27,67,612.0,,23.403,
27,77,694.0,,21.052,
27,81,694.0,,20.791,
27,82,694.0,,21.153,
27,84,694.0,,22.246,
28,1,464.5,184.40625441309376,31.5555,8.290120807322415
28,2,570.5,107.39490987317167,24.70975,5.521198805513165
28,3,511.5,184.9044798447746,28.5565,9.151680592474078
28,4,535.5,145.11030287336595,27.114,8.83511543029669
28,5,620.5,33.481338085566414,23.32075,1.1921197856479568
28,6,485.25,208.60708680835046,31.438000000000002,10.341335858259965
28,7,446.75,197.74288862055192,33.351,11.719296765022493
28,8,650.0,51.04246598013591,22.515500000000003,1.3352736298851506
28,9,510.0,166.38509548634457,28.17233333333333,10.320186060984236
28,10,603.0,6.0,23.65525,1.125921067393269
28,11,517.0,,27.151,
28,67,706.0,,22.246,
28,77,600.0,,22.771,
28,81,612.0,,22.995,
28,82,623.0,,29.238,
28,84,600.0,,23.009,
29,1,561.5,182.74663699596044,28.128,7.780849953571908
29,2,564.5,112.62474565269096,25.20025,3.927283910881241
29,3,529.25,116.58008692168086,26.95475,6.5138176913901
29,4,582.25,175.35939286695384,25.6195,7.484001670229636
29,5,655.75,52.18157401484423,22.418499999999998,0.9193477760528564
29,6,417.25,163.41027099502242,32.46025,10.701029432567069
29,7,450.0,131.19705281242665,32.4815,8.789928953068964
29,8,649.75,88.5,23.151,1.3713589367242018
29,9,597.0,202.07919239743612,27.75125,10.261010488738423
29,10,608.75,77.37947617639533,23.8095,2.1301482733994526
29,11,435.0,,28.541,
29,67,612.0,,30.66,
29,77,623.0,,23.29,
29,81,600.0,,23.419,
29,82,670.0,,23.407,
29,84,612.0,,24.804,
30,1,485.25,192.1897933467505,28.60325,6.347064748107322
30,2,529.25,157.20766520752096,25.67375,5.228429297281036
30,3,582.25,114.08878121883852,25.18825,4.800579296640492
30,4,582.25,126.8184397738226,26.3285,5.038291410124401
30,5,676.25,35.5,22.56775,0.9653214922155887
30,6,505.75,180.5886209039761,30.91125,10.583067368049143
30,7,497.0,142.19939052846416,29.246499999999997,6.3893725565713115
30,8,658.75,48.09279225275516,22.6455,0.9654934834925962
30,9,564.5,154.27788780854718,26.17775,7.496760917222849
30,10,632.25,42.224597886382135,23.247,0.7797157601758915
30,11,517.0,,27.329,
30,67,612.0,,23.252,
30,77,694.0,,23.07,
30,81,694.0,,22.618,
30,82,623.0,,22.22,
30,84,600.0,,22.869,
31,1,532.25,142.04782058635513,28.091,7.827181910922133
31,2,638.0,111.99999999999999,22.893,1.653567658125907
31,3,623.5,149.10734388352574,24.16975,4.288911934667502
31,4,588.0,147.37706741552432,24.73475,4.295358531795299
31,5,661.5,37.84617990409776,22.14225,0.8686143659108264
31,6,541.0,183.72805991464668,27.61375,7.994140995128867
31,7,523.5,155.746589047722,28.296,7.607508878294742
31,8,635.25,44.99907406454789,23.8345,1.102336155625859
31,9,567.5,135.1382008661257,25.09925,5.472162179309627
31,10,676.25,35.49999999999999,22.77325,0.8282831138364875
31,11,623.0,,20.69,
31,67,694.0,,22.198,
31,77,694.0,,21.339,
31,81,706.0,,20.954,
31,82,694.0,,21.607,
31,84,800.0,,20.979,
32,1,576.25,112.48518420959566,25.85525,3.00640786487795
32,2,585.0,70.18546858146635,23.57125,1.9687382380601035
32,3,570.75,74.71445643247363,23.9115,2.3132494461255138
32,4,623.25,99.93789738299148,23.33925,2.2401836792251353
32,5,623.5,46.99999999999999,22.74625,1.389827417343607
32,6,497.0,90.32902818769465,26.381999999999998,3.454016309554236
32,7,546.75,123.45410753258341,26.21025,3.9743050021355946
32,8,649.75,49.06713088548516,21.9055,1.5743897230355652
32,9,605.75,127.81855629498142,24.8915,4.799334988655547
32,10,605.75,11.5,22.91725,0.8712050562295875
32,11,694.0,,20.863,
32,67,694.0,,21.012,
32,77,694.0,,21.501,
32,81,694.0,,21.384,
32,82,682.0,,22.169,
32,84,600.0,,24.033,
33,1,541.0,82.48232133817119,25.9065,3.741359155886178
33,2,608.5,72.94975439757606,22.598,0.6595397385045615
33,3,602.75,72.32968500783987,23.868,2.906071689870479
33,4,552.75,63.316006401751736,23.7425,1.930998791644711
33,5,635.0,40.80032679607685,22.64275,0.9430444934713683
33,6,552.75,128.95832660204613,27.009999999999998,3.7974154368464856
33,7,564.75,104.21572178259221,24.66725,3.118316359298182
33,8,632.25,42.224597886382135,22.288249999999998,0.7895320871672445
33,9,582.25,59.57837974746655,23.64975,2.291586986493566
33,10,652.75,48.54808612774212,22.45375,1.1069532886862639
33,11,694.0,,23.073,
33,67,694.0,,23.87,
33,77,600.0,,25.608,
33,81,517.0,,24.556,
33,82,600.0,,24.608,
33,84,623.0,,23.49,
34,1,632.25,72.72035478461311,23.4175,2.448904040586317
34,2,614.5,55.65069631190611,22.98975,1.5644011367506303
34,3,567.5,37.429934544425805,25.80425,3.5753538169902384
34,4,611.5,68.01225379787576,25.271250000000002,4.027499006827935
34,5,647.0,55.14828495368946,23.21375,1.9196100949585215
34,6,588.0,88.51741824823709,25.79925,4.255499373359919
34,7,543.75,56.21017108436277,24.40325,0.5896882651028438
34,8,605.75,11.50000000000001,23.25575,1.1952041317978561
34,9,629.25,88.57906073107799,23.43875,2.7642783717756556
34,10,591.0,42.38710495736489,24.00725,0.6987919933714183
34,11,517.0,,25.402,
34,67,600.0,,23.407,
34,77,623.0,,22.177,
34,81,694.0,,22.214,
34,82,623.0,,21.917,
34,84,694.0,,21.468,
35,1,602.75,65.47964060174225,23.97625,2.04724683009483
35,2,620.5,57.84173810205453,22.641,0.7458266107704471
35,3,629.0,48.345975358175714,23.1525,1.4261317143471235
35,4,608.75,14.773286702694158,25.154,3.193082105636078
35,5,638.0,40.05829086052806,22.4045,0.791964014333986
35,6,591.0,86.75636383958626,24.07225,2.642390000864117
35,7,602.75,64.74243842591453,23.487000000000002,1.0976183307507232
35,8,617.75,20.303940504246953,23.908749999999998,1.2626634217663324
35,9,611.75,72.7295217455287,23.14825,1.082763555291121
35,10,611.5,13.279056191361393,22.909750000000003,1.0586017113784283
35,11,600.0,,24.172,
35,67,623.0,,21.731,
35,77,600.0,,22.916,
35,81,623.0,,22.314,
35,82,600.0,,22.299,
35,84,600.0,,22.712,
36,1,608.75,64.02798867162181,23.751,0.6755634685209082
36,2,650.0,51.04246598013591,22.1765,1.0709900404143198
36,3,626.25,49.42587041890782,22.532,0.8253892011247376
36,4,638.0,67.0323305079969,23.2705,0.869748047808482
36,5,605.75,11.49999999999999,22.7335,0.9640506556538766
36,6,617.5,58.73386303204199,23.73825,2.0742239311768293
36,7,629.25,53.187561202471656,23.1985,2.009539665362858
36,8,629.0,29.40521495698792,24.50475,2.9141266702049853
36,9,617.75,57.94465750466847,25.48525,2.586018480856882
36,10,655.75,46.42107998169222,21.91225,0.7011867915660325
36,11,694.0,,22.503,
36,67,600.0,,23.333,
36,77,623.0,,23.736,
36,81,600.0,,22.747,
36,82,612.0,,23.142,
36,84,623.0,,23.138,
37,1,629.0,29.40521495698793,23.18925,1.3046671031339747
37,2,629.25,80.18883962248113,22.75225,1.6704325537616493
37,3,638.25,77.12489870333704,22.881,0.8624229434177487
37,4,617.25,20.303940504246953,22.4375,0.6109918166391434
37,5,673.5,40.999999999999986,21.849,0.5015622261162291
37,6,605.75,54.60387654126157,23.581,1.8585010088778524
37,7,614.75,58.647961033043046,23.4235,1.1390266312368076
37,8,644.0,52.88982258746319,22.366,0.5227459548703666
37,9,614.5,53.60659163448714,22.7175,1.1668557465828118
37,10,676.25,35.5,21.89675,0.4589606918535271
37,11,694.0,,22.933,
37,67,612.0,,23.825,
37,77,600.0,,22.07,
37,81,623.0,,23.429,
37,82,694.0,,22.132,
37,84,600.0,,21.507,
38,1,644.0,52.889822587463215,22.70675,1.4180663771488273
38,2,655.5,111.51830940851522,23.143,1.519560462765468
38,3,567.5,44.725086174688734,24.11525,1.0780604111087662
38,4,617.5,58.73386303204199,23.901249999999997,1.233088094987539
38,5,632.0,83.65404951345751,23.13225,1.579447450851088
38,6,617.5,74.95109516655955,22.9895,1.730820325741525
38,7,576.25,66.21870329949589,24.5305,1.3719857870983934
38,8,655.5,111.51830940851521,23.43375,1.7078763372484935
38,9,664.5,44.46346815083142,22.3625,1.1989999999999992
38,10,579.0,79.03163923391695,24.27525,1.3647457333388755
38,11,635.0,,22.156,
38,67,694.0,,21.396,
38,77,694.0,,22.491,
38,81,675.0,,28.202,
38,82,630.0,,26.175,
38,84,672.0,,27.596,
39,1,635.25,49.96915715385509,22.7715,1.2533766393227534
39,2,611.5,72.73009464222267,23.17775,1.3246872272351686
39,3,629.25,44.507490006364854,23.0715,0.455931646923819
