Time (ms),Throughput (Mbps),UE,Scenario,Num_UEs,Repetition
320,1.49668,14,cb,10,1
320,0.89801,16,cb,10,1
320,1.25721,17,cb,10,1
320,1.07761,19,cb,10,1
320,0.71841,21,cb,10,1
330,1.03111,6,cb,10,1
330,0.97382,3,cb,10,1
330,0.97382,8,cb,10,1
330,0.97382,10,cb,10,1
330,0.97382,13,cb,10,1
330,0.85926,14,cb,10,1
330,1.03111,16,cb,10,1
330,0.85926,17,cb,10,1
330,1.08839,19,cb,10,1
330,0.97382,21,cb,10,1
340,1.19308,6,cb,10,1
340,0.71585,3,cb,10,1
340,0.71585,8,cb,10,1
340,0.95447,10,cb,10,1
340,0.6562,13,cb,10,1
340,1.19308,14,cb,10,1
340,1.13343,16,cb,10,1
340,1.01412,17,cb,10,1
340,0.83516,19,cb,10,1
340,0.6562,21,cb,10,1
350,0.89579,6,cb,10,1
350,1.01522,3,cb,10,1
350,1.01522,8,cb,10,1
350,1.31382,10,cb,10,1
350,0.71663,13,cb,10,1
350,1.2541,14,cb,10,1
350,1.13466,16,cb,10,1
350,1.19438,17,cb,10,1
350,1.43326,19,cb,10,1
350,1.07494,21,cb,10,1
360,1.02924,6,cb,10,1
360,0.62898,3,cb,10,1
360,0.68616,8,cb,10,1
360,0.68616,10,cb,10,1
360,1.31514,13,cb,10,1
360,0.8577,14,cb,10,1
360,1.08642,16,cb,10,1
360,1.08642,17,cb,10,1
360,0.80052,19,cb,10,1
360,0.97206,21,cb,10,1
370,0.73928,6,cb,10,1
370,0.68241,3,cb,10,1
370,0.96675,8,cb,10,1
370,1.42168,10,cb,10,1
370,1.08048,13,cb,10,1
370,1.13735,14,cb,10,1
370,1.13735,16,cb,10,1
370,0.73928,17,cb,10,1
370,0.85301,19,cb,10,1
370,0.68241,21,cb,10,1
380,0.74697,6,cb,10,1
380,0.74697,3,cb,10,1
380,1.09173,8,cb,10,1
380,0.68951,10,cb,10,1
380,0.91935,13,cb,10,1
380,0.91935,14,cb,10,1
380,0.74697,16,cb,10,1
380,0.97681,17,cb,10,1
380,1.14919,19,cb,10,1
380,0.97681,21,cb,10,1
390,1.13557,6,cb,10,1
390,1.07581,3,cb,10,1
390,0.7172,8,cb,10,1
390,1.49417,10,cb,10,1
390,1.31487,13,cb,10,1
390,1.31487,14,cb,10,1
390,1.43441,16,cb,10,1
390,1.49417,17,cb,10,1
390,1.01604,19,cb,10,1
390,0.77697,21,cb,10,1
400,1.02858,6,cb,10,1
400,1.14287,3,cb,10,1
400,0.74286,8,cb,10,1
400,1.14287,10,cb,10,1
400,1.02858,13,cb,10,1
400,1.08572,14,cb,10,1
400,0.80001,16,cb,10,1
400,0.85715,17,cb,10,1
400,1.3143,19,cb,10,1
400,1.08572,21,cb,10,1
410,1.14061,6,cb,10,1
410,1.02655,3,cb,10,1
410,0.7414,8,cb,10,1
410,0.11406,10,cb,10,1
410,1.08358,13,cb,10,1
410,1.02655,14,cb,10,1
410,0.96952,16,cb,10,1
410,0.79843,17,cb,10,1
410,1.02655,19,cb,10,1
410,1.08358,21,cb,10,1
420,1.07776,6,cb,10,1
420,1.13763,3,cb,10,1
420,1.13763,8,cb,10,1
420,1.73639,10,cb,10,1
420,1.01788,13,cb,10,1
420,1.13763,14,cb,10,1
420,1.13763,16,cb,10,1
420,1.49688,17,cb,10,1
420,1.19751,19,cb,10,1
420,0.7185,21,cb,10,1
430,1.2578,6,cb,10,1
430,1.13801,3,cb,10,1
430,1.07811,8,cb,10,1
430,1.2578,10,cb,10,1
430,0.53906,13,cb,10,1
430,0.95832,14,cb,10,1
430,1.1979,16,cb,10,1
430,0.71874,17,cb,10,1
430,0.83853,19,cb,10,1
430,1.13801,21,cb,10,1
440,1.14309,6,cb,10,1
440,1.14309,3,cb,10,1
440,0.80016,8,cb,10,1
440,0.97162,10,cb,10,1
440,1.48601,13,cb,10,1
440,1.02878,14,cb,10,1
440,0.97162,16,cb,10,1
440,1.08593,17,cb,10,1
440,0.97162,19,cb,10,1
440,1.08593,21,cb,10,1
450,0.83582,6,cb,10,1
450,0.77612,3,cb,10,1
450,1.07462,8,cb,10,1
450,0.71641,10,cb,10,1
450,1.25373,13,cb,10,1
450,0.83582,14,cb,10,1
450,1.19402,16,cb,10,1
450,1.13432,17,cb,10,1
450,1.01492,19,cb,10,1
450,0.77612,21,cb,10,1
460,0.4003,6,cb,10,1
460,0.85779,3,cb,10,1
460,1.2009,8,cb,10,1
460,1.14372,10,cb,10,1
460,0.85779,13,cb,10,1
460,1.37246,14,cb,10,1
460,0.74342,16,cb,10,1
460,1.31528,17,cb,10,1
460,1.71558,19,cb,10,1
460,0.74342,21,cb,10,1
470,0.62897,6,cb,10,1
470,0.74333,3,cb,10,1
470,1.54384,8,cb,10,1
470,0.62897,10,cb,10,1
470,1.48666,13,cb,10,1
470,0.91487,14,cb,10,1
470,0.80051,16,cb,10,1
470,1.08641,17,cb,10,1
470,0.11436,19,cb,10,1
470,0.80051,21,cb,10,1
480,1.01577,6,cb,10,1
480,1.19502,3,cb,10,1
480,0.83651,8,cb,10,1
480,1.85228,10,cb,10,1
480,1.25477,13,cb,10,1
480,1.13527,14,cb,10,1
480,1.67303,16,cb,10,1
480,1.07552,17,cb,10,1
480,1.73278,19,cb,10,1
480,1.25477,21,cb,10,1
490,0.74355,6,cb,10,1
490,1.20112,3,cb,10,1
490,1.14392,8,cb,10,1
490,1.20112,10,cb,10,1
490,1.14392,13,cb,10,1
490,1.31551,14,cb,10,1
490,1.31551,16,cb,10,1
490,1.08672,17,cb,10,1
490,1.25831,19,cb,10,1
490,1.14392,21,cb,10,1
500,1.25644,6,cb,10,1
500,0.83762,3,cb,10,1
500,1.25644,8,cb,10,1
500,0.71796,10,cb,10,1
500,0.65813,13,cb,10,1
500,0.71796,14,cb,10,1
500,0.89745,16,cb,10,1
500,1.31627,17,cb,10,1
500,0.83762,19,cb,10,1
500,1.19661,21,cb,10,1
510,0.77871,6,cb,10,1
510,0.83861,3,cb,10,1
510,1.19801,8,cb,10,1
510,0.95841,10,cb,10,1
510,1.01831,13,cb,10,1
510,0.95841,14,cb,10,1
510,0.71881,16,cb,10,1
510,0.59901,17,cb,10,1
510,0.5391,19,cb,10,1
510,0.83861,21,cb,10,1
520,1.02816,6,cb,10,1
520,1.14241,3,cb,10,1
520,0.79968,8,cb,10,1
520,1.25665,10,cb,10,1
520,1.54225,13,cb,10,1
520,1.14241,14,cb,10,1
520,1.54225,16,cb,10,1
520,1.14241,17,cb,10,1
520,1.88497,19,cb,10,1
520,1.19953,21,cb,10,1
530,1.01528,6,cb,10,1
530,0.77639,3,cb,10,1
530,0.83612,8,cb,10,1
530,1.01528,10,cb,10,1
530,1.07501,13,cb,10,1
530,1.3139,14,cb,10,1
530,1.01528,16,cb,10,1
530,0.89584,17,cb,10,1
530,0.83612,19,cb,10,1
530,1.19445,21,cb,10,1
540,0.3593,6,cb,10,1
540,1.25754,3,cb,10,1
540,1.01801,8,cb,10,1
540,1.43719,10,cb,10,1
540,0.95813,13,cb,10,1
540,0.65871,14,cb,10,1
540,1.25754,16,cb,10,1
540,1.25754,17,cb,10,1
540,0.77848,19,cb,10,1
540,0.83836,21,cb,10,1
550,0.8592,6,cb,10,1
550,1.60383,3,cb,10,1
550,0.97375,8,cb,10,1
550,0.91648,10,cb,10,1
550,1.20287,13,cb,10,1
550,1.03103,14,cb,10,1
550,0.63008,16,cb,10,1
550,0.8592,17,cb,10,1
550,1.03103,19,cb,10,1
550,0.97375,21,cb,10,1
560,1.14262,6,cb,10,1
560,1.14262,3,cb,10,1
560,1.14262,8,cb,10,1
560,0.79984,10,cb,10,1
560,0.79984,13,cb,10,1
560,1.42828,14,cb,10,1
560,1.14262,16,cb,10,1
560,1.31402,17,cb,10,1
560,1.42828,19,cb,10,1
560,1.19975,21,cb,10,1
570,1.19442,6,cb,10,1
570,1.19442,3,cb,10,1
570,0.89582,8,cb,10,1
570,1.01526,10,cb,10,1
570,0.77637,13,cb,10,1
570,0.95554,14,cb,10,1
570,1.1347,16,cb,10,1
570,1.07498,17,cb,10,1
570,1.01526,19,cb,10,1
570,1.37359,21,cb,10,1
580,1.19929,6,cb,10,1
580,0.79953,3,cb,10,1
580,1.48484,8,cb,10,1
580,1.48484,10,cb,10,1
580,1.19929,13,cb,10,1
580,1.2564,14,cb,10,1
580,0.91375,16,cb,10,1
580,0.91375,17,cb,10,1
580,1.14218,19,cb,10,1
580,0.79953,21,cb,10,1
590,1.14281,6,cb,10,1
590,1.19995,3,cb,10,1
590,1.19995,8,cb,10,1
590,0.85711,10,cb,10,1
590,0.85711,13,cb,10,1
590,0.74283,14,cb,10,1
590,1.08567,16,cb,10,1
590,0.91425,17,cb,10,1
590,0.97139,19,cb,10,1
590,1.14281,21,cb,10,1
600,0.89859,6,cb,10,1
600,0.83869,3,cb,10,1
600,0.83869,8,cb,10,1
600,0.65897,10,cb,10,1
600,1.25803,13,cb,10,1
600,0.89859,14,cb,10,1
600,0.89859,16,cb,10,1
600,1.43775,17,cb,10,1
600,1.01841,19,cb,10,1
600,0.83869,21,cb,10,1
610,1.2579,6,cb,10,1
610,1.1381,3,cb,10,1
610,1.3178,8,cb,10,1
610,1.1381,10,cb,10,1
610,1.3178,13,cb,10,1
