UE_ID,RB_ID,Throughput_Mbps
17,1,0.51425
19,1,0.79995
21,1,0.68567
6,1,0.51351
3,1,0.22823
8,1,0.39939
10,1,0.85585
13,1,0.51351
14,1,0.57056
16,1,0.68468
17,1,1.31230
19,1,0.91290
21,1,0.45645
6,1,0.74299
3,1,0.74299
8,1,0.68584
10,1,1.20022
13,1,0.51438
14,1,1.42883
16,1,1.25737
17,1,1.31452
19,1,1.31452
21,1,0.85730
6,1,0.77795
3,1,0.77795
8,1,0.77795
10,1,1.19685
13,1,0.77795
14,1,0.95748
16,1,1.37638
17,1,1.01732
19,1,1.19685
21,1,0.53858
6,1,0.83797
3,1,0.53870
8,1,0.53870
10,1,0.59855
13,1,0.77812
14,1,1.19711
16,1,1.37667
17,1,0.89783
19,1,0.83797
21,1,0.83797
6,1,0.74353
3,1,0.80072
8,1,0.74353
10,1,1.31547
13,1,0.51475
14,1,1.02950
16,1,0.97230
17,1,1.14389
19,1,1.14389
21,1,0.74353
6,1,0.74248
3,1,0.51402
8,1,0.51402
10,1,1.14227
13,1,0.62825
14,1,1.25650
16,1,1.37073
17,1,1.08516
19,1,0.97093
21,1,0.74248
6,1,0.83741
3,1,0.77760
8,1,0.53834
10,1,1.07667
13,1,0.53834
14,1,0.71778
16,1,1.49538
17,1,1.13649
19,1,1.25612
21,1,0.53834
6,1,0.85720
3,1,0.74291
8,1,0.51432
10,1,1.08579
13,1,0.91435
14,1,1.37152
16,1,1.48581
17,1,1.25723
19,1,1.14293
21,1,0.74291
6,1,0.65804
3,1,0.89732
8,1,0.53839
10,1,1.01697
13,1,0.59822
14,1,0.89732
16,1,1.85447
17,1,0.83750
19,1,0.77768
21,1,0.53839
6,1,0.85397
3,1,0.85397
8,1,0.74011
10,1,1.02477
13,1,0.56932
14,1,1.42329
16,1,1.48022
17,1,1.25250
19,1,1.53715
21,1,0.74011
6,1,0.85842
3,1,0.85842
8,1,0.51505
10,1,0.97287
13,1,0.74396
14,1,0.00000
16,1,1.48792
17,1,0.51505
19,1,0.80119
21,1,0.68673
6,1,0.57067
3,1,0.57067
8,1,0.85601
10,1,1.19841
13,1,0.74187
14,1,1.94029
16,1,1.19841
17,1,1.31255
19,1,1.08428
21,1,0.57067
6,1,0.94737
3,1,0.94737
8,1,0.88816
10,1,0.88816
13,1,0.88816
14,1,0.88816
16,1,1.36185
17,1,1.24342
19,1,1.24342
21,1,0.88816
6,1,0.51940
3,1,0.57711
8,1,0.86567
10,1,1.38507
13,1,0.57711
14,1,1.21193
16,1,1.38507
17,1,0.86567
19,1,0.98109
21,1,0.92338
6,1,0.62780
3,1,0.74194
8,1,0.91316
10,1,0.91316
13,1,0.74194
14,1,0.85609
16,1,0.79901
17,1,1.36974
19,1,1.14145
21,1,0.57072
6,1,0.68435
3,1,0.57029
8,1,0.68435
10,1,0.96949
13,1,0.68435
14,1,1.19761
16,1,1.02652
17,1,0.79840
19,1,1.19761
21,1,0.57029
6,1,0.71812
3,1,0.77797
8,1,0.77797
10,1,1.37641
13,1,0.95750
14,1,0.65828
16,1,1.19687
17,1,0.89766
19,1,1.13703
21,1,0.59844
6,1,0.91518
3,1,0.74358
8,1,0.91518
10,1,1.08678
13,1,0.68639
14,1,1.25837
16,1,1.08678
17,1,1.42997
19,1,0.40039
21,1,0.62919
6,1,0.71855
3,1,0.95807
8,1,1.31735
10,1,0.95807
13,1,0.65868
14,1,0.89819
16,1,1.13771
17,1,1.07783
19,1,1.43711
21,1,0.95807
6,1,0.65854
3,1,0.71841
8,1,1.01774
10,1,1.25721
13,1,1.07761
14,1,1.49668
16,1,0.89801
17,1,1.25721
19,1,1.07761
