Time_ms,Mean_Latency_us,Std_Latency_us
21100,71866685.75,9708.867312931367
21200,71871024.0,6709.31194683872
21300,71862210.0,
21900,71861111.0,
22000,71865919.81818181,8745.040924066428
22100,71873822.5,3920.7856780667485
22200,71865640.5,10239.828681603156
22300,71869418.25,2853.910343723478
22400,71862613.0,
23000,71864269.14285715,6951.795054240384
23100,71869856.42857143,9845.835191543489
23200,71869344.0,8424.131036155553
23300,71859186.66666667,6519.285722631561
23400,71868943.75,4793.967415758245
24000,71866702.25,9851.386209562528
24100,71865635.5,9353.286304825257
24200,71870800.6,6180.649383359283
24300,71866242.0,9631.171073652447
24400,71870922.0,4605.971269267073
24500,71863146.0,
25100,71867234.55555555,7483.475247354625
25200,71869231.0,14862.727979748535
25300,71869833.33333333,6719.812795011225
25400,71860108.5,6044.016352283195
25500,71873285.66666667,4360.149232918979
25600,71863510.0,
26100,71866074.5,8905.070521899308
26200,71864834.16666667,9819.254134947632
26300,71870812.6,6353.738293320906
26400,71866521.44444445,9877.723866250431
26500,71867746.0,
26600,71868868.75,4314.217223322982
27100,71873744.0,0.0
27200,71866397.66666667,8184.326964795006
27300,71866514.0,13650.329446571684
27400,71867906.0,7509.614237760489
27500,71864489.6,10138.767469472912
27600,71869915.0,3167.6072988908422
27700,71862222.0,
28100,71873518.0,0.0
28200,71861097.0,
28300,71864096.0,9253.947211869621
28400,71869739.57142857,8873.575976968503
28500,71867121.0,9119.402677807357
28600,71863852.5,5475.127806727438
28700,71871129.33333333,2855.5744314129643
28800,71866582.0,
29200,71869578.66666667,6970.349799925276
29300,71870376.5,7179.350597372996
29400,71864819.6,12161.847322672731
29500,71866819.4,8811.735033463934
29600,71866098.57142857,8759.86399926837
29700,71870030.75,2556.5191667578006
29800,71863400.0,
30200,71873426.0,0.0
30300,71862924.66666667,1197.4244582982085
30400,71863719.0,11582.631566271975
30500,71868377.0,8592.663079629334
30600,71868881.57142857,9524.573321277445
30700,71859820.0,
30800,71868681.0,4251.754990590379
31200,71873642.0,0.0
31300,71862349.0,
31400,71864883.0,0.0
31500,71872256.57142857,11019.714724939297
31600,71867238.6,8435.685556015691
31700,71866445.57142857,9128.645698334441
31800,71870186.25,3575.999196026864
31900,71862923.0,
32300,71869851.66666667,6655.116552947741
32400,71864647.0,0.0
32500,71870015.0,11026.235440983473
32600,71864844.125,9686.2216787877
32700,71870738.83333333,9212.888090425085
32800,71866223.2,6427.284589931791
32900,71864870.5,2233.750321768304
33300,71873937.0,0.0
33400,71862172.0,
33500,71861415.66666667,3755.6635010774403
33600,71869962.0,12843.942743563563
33700,71866888.2,8792.523170283604
33800,71867122.33333333,9110.948088241123
33900,71868081.6,5214.932674543596
34000,71862680.0,
34300,71876287.0,0.0
34400,71868613.0,
34500,71861585.66666667,3854.390397108866
34700,71869149.625,10325.764128595287
34800,71871875.0,6382.182542045986
34900,71866259.75,7691.852270885998
35000,71867458.0,
35100,71862628.0,
35300,71873883.0,0.0
35400,71861616.0,
35600,71861930.33333333,4113.043317707969
35700,71870177.16666667,11379.339671818663
35800,71867079.83333333,8632.877745377702
35900,71869113.75,10840.332294261094
36000,71866762.5,5746.526629189914
36100,71863254.0,
36400,71873503.0,0.0
36500,71861345.0,
36600,71857227.0,
36700,71870048.0,7686.841483990677
36800,71864547.16666667,11680.658824173008
36900,71872896.6,6708.085591285317
37000,71866898.125,8410.821183577658
37100,71866916.0,
37200,71862584.0,
37400,71875083.0,0.0
37500,71862719.0,
37700,71862152.33333333,4301.836855732977
37800,71866112.5,12423.308026986477
37900,71869952.875,8790.669134899874
38000,71868636.5,10783.313822755585
38100,71866400.6,6419.124730054069
38200,71867553.0,
38300,71862661.0,
38400,71873771.0,0.0
38600,71861475.0,
38700,71861787.66666667,3629.223792124912
38900,71871350.0,9098.462644863686
39000,71865278.0,11258.68467746862
39100,71864643.8,7413.200907838831
39200,71868199.5,6533.669744738299
39300,71862540.0,
39500,71874074.0,0.0
39700,71862437.0,
39800,71861723.66666667,3714.0942816957872
39900,71855180.0,786.3027406794408
40000,71871891.5,8692.600624155579
40100,71868644.0,11032.239391892857
40200,71866997.2,7063.998492356512
40300,71867848.0,
40400,71862485.0,
40600,71873621.0,0.0
40700,71861418.0,
40800,71861660.33333333,3827.254934459105
41000,71869203.57142857,9518.405186043434
41100,71869443.33333333,10603.50837537471
41200,71862868.0,8085.49806752806
41300,71871052.66666667,2477.4100050916086
41400,71865150.5,3507.956741466462
41700,71873974.0,0.0
41800,71862982.66666667,1460.6961810486778
41900,71858969.0,
42000,71866017.2,10109.793850518989
42100,71873388.0,6085.741762513424
42200,71865475.4,12139.619034386207
42300,71862686.33333333,5888.716357013517
42400,71870572.0,3389.6234304122927
42500,71862829.0,
42700,71875632.0,0.0
42800,71861519.0,
42900,71861676.0,3857.27714845589
43100,71866562.8,9430.081717569441
43200,71870466.22222222,10783.88242677258
43300,71867098.0,5770.323272284376
43400,71870520.0,9081.142384083623
43500,71864754.5,2635.3869734822624
43700,71873834.0,0.0
43900,71863360.0,1662.7687752661222
44000,71857103.0,
44100,71866548.2,10345.360515710554
44200,71865321.0,0.0
44300,71869968.4,11151.809292167758
44400,71864523.5,5893.735021189874
44500,71875959.0,8154.495202034274
44600,71863212.0,
44700,71874111.0,0.0
44900,71863108.33333333,1198.0018085695488
45000,71857402.0,
45100,71862613.0,10435.481876751068
45200,71869366.66666667,11016.420486406174
45300,71871892.625,9181.00732004519
45400,71864039.4,8619.958485979716
45500,71859940.0,
45600,71870620.33333333,3087.669239627194
45700,71862676.0,
45800,71873777.0,0.0
45900,71864730.0,0.0
46000,71861624.0,
46100,71857160.0,
46200,71866477.4,10677.893298774592
46300,71866011.5,18440.637746563974
46400,71869381.6,8839.50250234332
46500,71864739.5,5806.053780322742
46600,71872004.33333333,4360.726583190319
46700,71863345.0,
46800,71874285.0,0.0
47000,71863212.0,1692.2136389947932
47200,71858186.0,
47300,71866229.6,10232.328879587927
47400,71871387.7,7922.486380904153
47500,71859675.0,8335.856224767795
47600,71860593.0,
47700,71870633.0,3301.2888392262803
47800,71879551.0,14583.867799729947
48100,71863040.33333333,1509.7709539319467
48200,71857459.0,
48300,71868434.5,9725.954057741614
48400,71862846.0,14210.355062418392
