Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
1ff7eddb62a8,rfsim5g-oai-cucp,14.60%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.36%,8.586MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,19.37%,6.398MiB,23.44GiB,0.03%,59.8MB,60MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,179.99%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.60%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.36%,8.586MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.58%,6.383MiB,23.44GiB,0.03%,60.2MB,60.4MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,182.11%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.30%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,20.87%,8.785MiB,23.44GiB,0.04%,9.67GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.58%,6.383MiB,23.44GiB,0.03%,60.2MB,60.4MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,182.11%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.30%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,20.87%,8.785MiB,23.44GiB,0.04%,9.67GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.51%,6.383MiB,23.44GiB,0.03%,60.7MB,60.9MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,161.23%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.71%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,16.76%,8.578MiB,23.44GiB,0.04%,9.67GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.51%,6.383MiB,23.44GiB,0.03%,60.7MB,60.9MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,161.23%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.71%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,16.76%,8.578MiB,23.44GiB,0.04%,9.67GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,21.22%,7.234MiB,23.44GiB,0.03%,61.1MB,61.3MB,0B,0B,16
