[UE 3 | RBs:  1 ] Total Throughput = 1.31473 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 2.38727 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.42865 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.07149 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.54771 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.95243 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.06653 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.63834 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.18503 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.47401 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.94803 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.99708 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.21865 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.88629 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.21865 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.77551 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.09010 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.52614 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.09010 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.41713 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.30812 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.19704 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.23941 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.07733 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.95763 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.69926 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.95694 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.43541 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.23924 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.31579 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.55151 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.98420 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31226 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.42162 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.98420 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.87376 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.95198 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.47599 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.30897 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.76126 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.30508 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.41786 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.30880 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.55187 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.09066 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.76120 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.98348 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.98348 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.87420 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.87420 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.08775 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.83790 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.79550 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.07730 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.19700 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.20610 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.55633 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.43661 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.71831 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.36650 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.95284 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98037 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.30716 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.68226 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.52760 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.19485 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.87337 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.76420 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.09589 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.20548 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.09589 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19403 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.51967 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.31018 Mbps
