Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
33460,5,1,1.30495,0.03420
33570,5,1,1.09247,0.02863
33670,5,1,1.19818,0.03140
33770,5,1,0.95851,0.02512
33870,5,1,1.07692,0.02822
33980,5,1,1.09107,0.02859
34080,5,1,0.83639,0.02192
34190,5,1,1.30718,0.03426
34300,5,1,0.98322,0.02577
34400,5,1,0.95824,0.02511
34500,5,1,1.19471,0.03131
34610,5,1,1.09124,0.02860
34710,5,1,0.95871,0.02512
34810,5,1,1.19632,0.03135
34910,5,1,1.19816,0.03140
35020,5,1,0.87422,0.02291
35120,5,1,1.19802,0.03139
35230,5,1,1.09046,0.02858
35330,5,1,0.71859,0.01883
35440,5,1,1.30877,0.03430
35550,5,1,0.97987,0.02568
35650,5,1,0.95838,0.02511
35760,5,1,1.30443,0.03418
35870,5,1,0.76247,0.01998
35980,5,1,1.52489,0.03996
36090,5,1,0.65686,0.01721
36200,5,1,1.19845,0.03141
36300,5,1,1.19597,0.03134
36410,5,1,0.98118,0.02571
36510,5,1,1.19693,0.03137
36620,5,1,1.20034,0.03146
36720,5,1,0.59827,0.01568
36830,5,1,1.19897,0.03142
36930,5,1,1.19732,0.03138
37030,5,1,0.59907,0.01570
37140,5,1,1.30902,0.03430
37240,5,1,1.43601,0.03763
37350,5,1,0.65498,0.01716
37450,5,1,1.19600,0.03134
37550,5,1,1.31773,0.03453
37650,5,1,0.95836,0.02511
37760,5,1,0.98132,0.02572
37860,5,1,0.95760,0.02509
37960,5,1,1.43804,0.03768
38070,5,1,0.98145,0.02572
38180,5,1,0.76253,0.01998
38281,5,1,1.31228,0.03439
38390,5,1,1.20137,0.03148
38500,5,1,0.98283,0.02576
38600,5,1,1.07798,0.02825
38700,5,1,1.07703,0.02822
38811,5,1,0.86930,0.02278
38920,5,1,1.09415,0.02867
39020,5,1,1.19597,0.03134
39130,5,1,0.98061,0.02570
39231,5,1,1.19471,0.03131
39340,5,1,1.20408,0.03155
39440,5,1,0.71872,0.01883
39540,5,1,1.31713,0.03452
39650,5,1,1.08809,0.02851
39760,5,1,1.20024,0.03145
39870,5,1,0.65465,0.01716
39970,5,1,1.31679,0.03451
40070,5,1,1.07471,0.02816
40180,5,1,0.76402,0.02002
40290,5,1,1.30685,0.03425
40400,5,1,1.09135,0.02860
40500,5,1,1.19695,0.03137
40610,5,1,1.19862,0.03141
40711,5,1,0.71640,0.01877
40820,5,1,0.87393,0.02290
40920,5,1,1.43717,0.03766
41030,5,1,0.87236,0.02286
41130,5,1,1.43534,0.03761
41240,5,1,0.98491,0.02581
41340,5,1,1.07394,0.02814
41440,5,1,0.71868,0.01883
41550,5,1,1.20302,0.03153
41660,5,1,1.19753,0.03138
41760,5,1,1.19368,0.03128
41871,5,1,0.97961,0.02567
41980,5,1,1.09263,0.02863
42080,5,1,0.71841,0.01883
42180,5,1,1.19829,0.03140
42290,5,1,1.19918,0.03143
42390,5,1,1.19790,0.03139
42491,5,1,0.95642,0.02506
42600,5,1,1.09169,0.02861
42710,5,1,0.87114,0.02283
42820,5,1,1.09194,0.02861
42920,5,1,1.31445,0.03445
43030,5,1,1.09049,0.02858
43140,5,1,0.65508,0.01717
43240,5,1,1.43577,0.03762
43350,5,1,0.87020,0.02280
43460,5,1,1.08961,0.02855
43570,5,1,0.98104,0.02571
43680,5,1,1.19853,0.03141
43790,5,1,1.09186,0.02861
43890,5,1,1.19565,0.03133
43990,5,1,0.95712,0.02508
44101,5,1,1.08914,0.02854
44210,5,1,1.09303,0.02864
44310,5,1,1.07744,0.02823
44420,5,1,1.09026,0.02857
44530,5,1,0.87214,0.02285
44630,5,1,1.19788,0.03139
44730,5,1,1.19652,0.03136
44830,5,1,0.83821,0.02197
44931,5,1,1.31432,0.03444
45040,5,1,0.87466,0.02292
45150,5,1,0.98154,0.02572
45251,5,1,1.31164,0.03437
45360,5,1,1.09499,0.02869
45460,5,1,0.95821,0.02511
45560,5,1,1.19809,0.03140
