[UE 7 | RB 1] Throughput = 1.31763 Mbps
[UE 10 | RB 1] Throughput = 1.13796 Mbps
[UE 3 | RB 1] Throughput = 1.08566 Mbps
[UE 8 | RB 1] Throughput = 0.57140 Mbps
[UE 6 | RB 1] Throughput = 0.96975 Mbps
[UE 7 | RB 1] Throughput = 1.02679 Mbps
[UE 10 | RB 1] Throughput = 1.31201 Mbps
[UE 6 | RB 1] Throughput = 0.68413 Mbps
[UE 7 | RB 1] Throughput = 1.02619 Mbps
[UE 10 | RB 1] Throughput = 0.79815 Mbps
[UE 6 | RB 1] Throughput = 1.54044 Mbps
[UE 7 | RB 1] Throughput = 1.19812 Mbps
[UE 10 | RB 1] Throughput = 1.02696 Mbps
[UE 6 | RB 1] Throughput = 0.68417 Mbps
[UE 7 | RB 1] Throughput = 0.34209 Mbps
[UE 10 | RB 1] Throughput = 0.45611 Mbps
[UE 6 | RB 1] Throughput = 1.37265 Mbps
[UE 7 | RB 1] Throughput = 1.54423 Mbps
[UE 10 | RB 1] Throughput = 1.65861 Mbps
[UE 6 | RB 1] Throughput = 0.95619 Mbps
[UE 7 | RB 1] Throughput = 1.07571 Mbps
[UE 10 | RB 1] Throughput = 1.19524 Mbps
[UE 3 | RB 1] Throughput = 0.12157 Mbps
[UE 8 | RB 1] Throughput = 0.15197 Mbps
[UE 6 | RB 1] Throughput = 1.14438 Mbps
[UE 7 | RB 1] Throughput = 0.68663 Mbps
[UE 10 | RB 1] Throughput = 0.80107 Mbps
[UE 3 | RB 1] Throughput = 6.23196 Mbps
[UE 8 | RB 1] Throughput = 5.88574 Mbps
[UE 6 | RB 1] Throughput = 1.07731 Mbps
[UE 7 | RB 1] Throughput = 1.43641 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.91497 Mbps
[UE 8 | RB 1] Throughput = 0.85779 Mbps
[UE 6 | RB 1] Throughput = 0.89787 Mbps
[UE 7 | RB 1] Throughput = 0.59858 Mbps
[UE 10 | RB 1] Throughput = 2.21475 Mbps
[UE 3 | RB 1] Throughput = 1.36867 Mbps
[UE 8 | RB 1] Throughput = 1.88193 Mbps
[UE 6 | RB 1] Throughput = 1.25923 Mbps
[UE 7 | RB 1] Throughput = 1.43094 Mbps
[UE 10 | RB 1] Throughput = 1.14475 Mbps
[UE 6 | RB 1] Throughput = 1.01483 Mbps
[UE 7 | RB 1] Throughput = 1.31332 Mbps
[UE 10 | RB 1] Throughput = 1.01483 Mbps
[UE 6 | RB 1] Throughput = 0.91330 Mbps
[UE 7 | RB 1] Throughput = 0.91330 Mbps
[UE 10 | RB 1] Throughput = 0.91330 Mbps
[UE 6 | RB 1] Throughput = 0.91519 Mbps
[UE 7 | RB 1] Throughput = 1.02959 Mbps
[UE 10 | RB 1] Throughput = 1.37279 Mbps
[UE 6 | RB 1] Throughput = 1.07731 Mbps
[UE 7 | RB 1] Throughput = 1.13716 Mbps
[UE 10 | RB 1] Throughput = 1.01746 Mbps
[UE 6 | RB 1] Throughput = 1.07821 Mbps
[UE 7 | RB 1] Throughput = 0.77871 Mbps
[UE 10 | RB 1] Throughput = 0.83861 Mbps
[UE 6 | RB 1] Throughput = 1.31352 Mbps
[UE 7 | RB 1] Throughput = 1.42773 Mbps
[UE 10 | RB 1] Throughput = 1.19930 Mbps
[UE 6 | RB 1] Throughput = 0.97234 Mbps
[UE 7 | RB 1] Throughput = 1.02953 Mbps
[UE 10 | RB 1] Throughput = 1.08673 Mbps
[UE 6 | RB 1] Throughput = 1.01517 Mbps
[UE 7 | RB 1] Throughput = 0.83602 Mbps
[UE 10 | RB 1] Throughput = 1.07488 Mbps
[UE 6 | RB 1] Throughput = 0.97220 Mbps
[UE 7 | RB 1] Throughput = 1.20096 Mbps
[UE 10 | RB 1] Throughput = 0.68626 Mbps
[UE 6 | RB 1] Throughput = 1.13540 Mbps
[UE 7 | RB 1] Throughput = 1.25492 Mbps
[UE 10 | RB 1] Throughput = 1.55371 Mbps
[UE 6 | RB 1] Throughput = 0.79998 Mbps
[UE 7 | RB 1] Throughput = 0.68570 Mbps
[UE 10 | RB 1] Throughput = 0.91426 Mbps
[UE 6 | RB 1] Throughput = 1.37172 Mbps
[UE 7 | RB 1] Throughput = 1.25741 Mbps
[UE 10 | RB 1] Throughput = 1.08595 Mbps
[UE 6 | RB 1] Throughput = 1.01732 Mbps
[UE 7 | RB 1] Throughput = 0.95748 Mbps
[UE 10 | RB 1] Throughput = 1.07717 Mbps
[UE 6 | RB 1] Throughput = 1.07726 Mbps
[UE 7 | RB 1] Throughput = 1.19696 Mbps
[UE 10 | RB 1] Throughput = 0.83787 Mbps
[UE 6 | RB 1] Throughput = 1.07516 Mbps
[UE 7 | RB 1] Throughput = 0.29866 Mbps
[UE 10 | RB 1] Throughput = 1.13489 Mbps
[UE 3 | RB 1] Throughput = 0.06948 Mbps
[UE 8 | RB 1] Throughput = 0.05119 Mbps
[UE 6 | RB 1] Throughput = 0.80211 Mbps
[UE 7 | RB 1] Throughput = 0.91669 Mbps
[UE 10 | RB 1] Throughput = 1.08857 Mbps
[UE 3 | RB 1] Throughput = 14.81068 Mbps
[UE 8 | RB 1] Throughput = 14.91353 Mbps
[UE 6 | RB 1] Throughput = 1.19667 Mbps
[UE 7 | RB 1] Throughput = 1.97451 Mbps
[UE 10 | RB 1] Throughput = 0.95734 Mbps
[UE 3 | RB 1] Throughput = 1.25887 Mbps
[UE 8 | RB 1] Throughput = 1.20164 Mbps
[UE 6 | RB 1] Throughput = 1.14097 Mbps
[UE 7 | RB 1] Throughput = 0.96982 Mbps
[UE 10 | RB 1] Throughput = 1.14097 Mbps
[UE 3 | RB 1] Throughput = 0.77668 Mbps
[UE 8 | RB 1] Throughput = 0.95591 Mbps
[UE 6 | RB 1] Throughput = 1.19841 Mbps
[UE 7 | RB 1] Throughput = 1.25548 Mbps
[UE 10 | RB 1] Throughput = 1.02721 Mbps
[UE 3 | RB 1] Throughput = 1.43181 Mbps
[UE 8 | RB 1] Throughput = 1.31727 Mbps
[UE 6 | RB 1] Throughput = 0.97189 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 1.20057 Mbps
[UE 3 | RB 1] Throughput = 0.89085 Mbps
[UE 8 | RB 1] Throughput = 0.89085 Mbps
[UE 6 | RB 1] Throughput = 1.19609 Mbps
[UE 7 | RB 1] Throughput = 2.09316 Mbps
[UE 10 | RB 1] Throughput = 1.19609 Mbps
[UE 3 | RB 1] Throughput = 1.43692 Mbps
[UE 8 | RB 1] Throughput = 1.20701 Mbps
[UE 6 | RB 1] Throughput = 1.02664 Mbps
[UE 7 | RB 1] Throughput = 1.08367 Mbps
[UE 10 | RB 1] Throughput = 0.85553 Mbps
[UE 3 | RB 1] Throughput = 0.71773 Mbps
[UE 8 | RB 1] Throughput = 1.07660 Mbps
[UE 6 | RB 1] Throughput = 1.07778 Mbps
[UE 7 | RB 1] Throughput = 1.01790 Mbps
[UE 10 | RB 1] Throughput = 1.13766 Mbps
[UE 3 | RB 1] Throughput = 0.96865 Mbps
[UE 8 | RB 1] Throughput = 0.51282 Mbps
[UE 6 | RB 1] Throughput = 0.80122 Mbps
[UE 7 | RB 1] Throughput = 1.08737 Mbps
[UE 10 | RB 1] Throughput = 1.08737 Mbps
[UE 3 | RB 1] Throughput = 1.09040 Mbps
[UE 8 | RB 1] Throughput = 1.25396 Mbps
[UE 6 | RB 1] Throughput = 0.89791 Mbps
[UE 7 | RB 1] Throughput = 0.71833 Mbps
[UE 10 | RB 1] Throughput = 0.95777 Mbps
[UE 3 | RB 1] Throughput = 1.37231 Mbps
[UE 8 | RB 1] Throughput = 1.48667 Mbps
[UE 6 | RB 1] Throughput = 1.25691 Mbps
[UE 7 | RB 1] Throughput = 1.31676 Mbps
[UE 10 | RB 1] Throughput = 1.31676 Mbps
[UE 3 | RB 1] Throughput = 0.88377 Mbps
[UE 8 | RB 1] Throughput = 0.88377 Mbps
[UE 6 | RB 1] Throughput = 1.43093 Mbps
[UE 7 | RB 1] Throughput = 1.08750 Mbps
[UE 10 | RB 1] Throughput = 0.45790 Mbps
[UE 6 | RB 1] Throughput = 1.01440 Mbps
[UE 7 | RB 1] Throughput = 0.77572 Mbps
[UE 10 | RB 1] Throughput = 1.49177 Mbps
[UE 6 | RB 1] Throughput = 0.40034 Mbps
[UE 7 | RB 1] Throughput = 0.68630 Mbps
[UE 10 | RB 1] Throughput = 1.02945 Mbps
[UE 6 | RB 1] Throughput = 1.67251 Mbps
[UE 7 | RB 1] Throughput = 1.91144 Mbps
[UE 10 | RB 1] Throughput = 1.13492 Mbps
[UE 6 | RB 1] Throughput = 1.02986 Mbps
[UE 7 | RB 1] Throughput = 0.97264 Mbps
[UE 10 | RB 1] Throughput = 0.91543 Mbps
[UE 6 | RB 1] Throughput = 1.07730 Mbps
[UE 7 | RB 1] Throughput = 1.13715 Mbps
[UE 10 | RB 1] Throughput = 1.19700 Mbps
[UE 3 | RB 1] Throughput = 0.07924 Mbps
[UE 8 | RB 1] Throughput = 0.07924 Mbps
[UE 6 | RB 1] Throughput = 1.08554 Mbps
[UE 7 | RB 1] Throughput = 0.97127 Mbps
[UE 10 | RB 1] Throughput = 1.02840 Mbps
[UE 3 | RB 1] Throughput = 6.51265 Mbps
[UE 8 | RB 1] Throughput = 6.21391 Mbps
[UE 3 | RB 1] Throughput = 1.01752 Mbps
[UE 8 | RB 1] Throughput = 1.01752 Mbps
[UE 6 | RB 1] Throughput = 0.62747 Mbps
[UE 7 | RB 1] Throughput = 1.02676 Mbps
[UE 10 | RB 1] Throughput = 1.08381 Mbps
[UE 6 | RB 1] Throughput = 1.43754 Mbps
[UE 7 | RB 1] Throughput = 1.19795 Mbps
[UE 10 | RB 1] Throughput = 1.13805 Mbps
[UE 3 | RB 1] Throughput = 0.45491 Mbps
[UE 8 | RB 1] Throughput = 1.19414 Mbps
[UE 6 | RB 1] Throughput = 0.95776 Mbps
[UE 7 | RB 1] Throughput = 0.89790 Mbps
[UE 10 | RB 1] Throughput = 0.77818 Mbps
[UE 6 | RB 1] Throughput = 0.91409 Mbps
[UE 7 | RB 1] Throughput = 1.25687 Mbps
[UE 10 | RB 1] Throughput = 1.31400 Mbps
[UE 6 | RB 1] Throughput = 1.25806 Mbps
[UE 7 | RB 1] Throughput = 0.95852 Mbps
[UE 10 | RB 1] Throughput = 0.95852 Mbps
[UE 6 | RB 1] Throughput = 0.97071 Mbps
[UE 7 | RB 1] Throughput = 0.85651 Mbps
[UE 10 | RB 1] Throughput = 0.79941 Mbps
[UE 6 | RB 1] Throughput = 1.31627 Mbps
[UE 7 | RB 1] Throughput = 1.25644 Mbps
[UE 10 | RB 1] Throughput = 1.01711 Mbps
[UE 3 | RB 1] Throughput = 0.13656 Mbps
[UE 8 | RB 1] Throughput = 0.01138 Mbps
[UE 6 | RB 1] Throughput = 0.71882 Mbps
[UE 7 | RB 1] Throughput = 0.59901 Mbps
[UE 10 | RB 1] Throughput = 1.61734 Mbps
[UE 6 | RB 1] Throughput = 1.31502 Mbps
[UE 7 | RB 1] Throughput = 1.60089 Mbps
[UE 10 | RB 1] Throughput = 0.85762 Mbps
[UE 6 | RB 1] Throughput = 0.95585 Mbps
[UE 7 | RB 1] Throughput = 0.95585 Mbps
[UE 10 | RB 1] Throughput = 1.13507 Mbps
[UE 6 | RB 1] Throughput = 0.97213 Mbps
[UE 7 | RB 1] Throughput = 1.02931 Mbps
[UE 10 | RB 1] Throughput = 0.91494 Mbps
[UE 6 | RB 1] Throughput = 0.95805 Mbps
[UE 7 | RB 1] Throughput = 1.13768 Mbps
