[UE 3 | RB 1] Throughput = 0.02104 Mbps
[UE 12 | RB 1] Throughput = 0.13523 Mbps
[UE 16 | RB 1] Throughput = 0.02805 Mbps
[UE 20 | RB 1] Throughput = 0.02104 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 12 | RB 1] Throughput = 0.00736 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 20 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 12 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 20 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 12 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 20 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 12 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 20 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 12 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 20 | RB 1] Throughput = 0.00000 Mbps
