Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
5541,20,1,0.83592,0.02191
5641,1,1,0.35825,0.00939
5641,5,1,1.55241,0.04068
5641,6,1,1.19416,0.03129
5641,18,1,0.71650,0.01878
5641,20,1,0.23883,0.00626
5750,1,1,0.98376,0.02578
5750,5,1,0.54654,0.01432
5750,6,1,1.42099,0.03724
5750,18,1,0.87446,0.02292
5750,20,1,1.53030,0.04010
5861,1,1,1.52388,0.03993
5861,5,1,1.52388,0.03993
5861,6,1,0.97964,0.02567
5861,18,1,1.74158,0.04564
5861,20,1,0.87079,0.02282
5961,1,1,1.55128,0.04065
5961,5,1,1.19329,0.03127
5961,6,1,0.59665,0.01564
5961,18,1,1.19329,0.03127
5961,20,1,1.55128,0.04065
6071,1,1,0.43611,0.01143
6071,5,1,1.09027,0.02857
6071,6,1,1.19929,0.03143
6071,18,1,0.76319,0.02000
6071,20,1,0.76319,0.02000
6171,1,1,2.14714,0.05627
6171,5,1,1.07357,0.02813
6171,6,1,1.43142,0.03751
6171,18,1,1.31214,0.03439
6171,20,1,1.19285,0.03126
6273,1,1,0.00000,0.00000
6273,5,1,0.59052,0.01547
6273,6,1,1.18104,0.03095
6273,18,1,0.59052,0.01547
6273,20,1,1.18104,0.03095
6380,1,1,0.00000,0.00000
6380,5,1,1.11679,0.02927
6380,6,1,0.89343,0.02341
6380,18,1,1.11679,0.02927
6380,20,1,0.67007,0.01756
6481,1,1,1.77490,0.04651
6481,5,1,1.53825,0.04031
6481,6,1,1.18327,0.03101
6481,18,1,0.94661,0.02481
6481,20,1,1.53825,0.04031
6591,1,1,2.08664,0.05468
6591,5,1,0.65894,0.01727
6591,6,1,0.98841,0.02590
6591,18,1,1.53752,0.04029
6591,20,1,1.20805,0.03166
6701,1,1,0.10901,0.00286
6701,5,1,1.52619,0.03999
6701,6,1,0.98112,0.02571
6701,18,1,1.09014,0.02857
6701,20,1,0.98112,0.02571
6810,1,1,2.07175,0.05429
6810,5,1,0.76328,0.02000
6810,6,1,0.87232,0.02286
6810,18,1,0.76328,0.02000
6810,20,1,0.76328,0.02000
6911,1,1,0.11951,0.00313
6911,5,1,0.83654,0.02192
6911,6,1,1.19505,0.03132
6911,18,1,1.19505,0.03132
6911,20,1,1.19505,0.03132
7023,1,1,1.48805,0.03899
7023,5,1,1.27547,0.03342
7023,6,1,1.59434,0.04178
7023,18,1,1.06289,0.02785
7023,20,1,0.74402,0.01950
7131,1,1,0.78356,0.02053
7131,5,1,1.11937,0.02933
7131,6,1,1.00744,0.02640
7131,18,1,1.00744,0.02640
7131,20,1,1.56712,0.04107
7231,1,1,1.07527,0.02818
7231,5,1,0.83632,0.02192
7231,6,1,0.35842,0.00939
7231,18,1,1.07527,0.02818
7231,20,1,0.59737,0.01565
7340,1,1,1.53346,0.04019
7340,5,1,1.53346,0.04019
7340,6,1,1.42393,0.03731
7340,18,1,1.42393,0.03731
7340,20,1,1.64299,0.04306
7440,1,1,1.19578,0.03134
7440,5,1,0.35873,0.00940
7440,6,1,0.00000,0.00000
7440,18,1,0.83705,0.02194
7440,20,1,0.83705,0.02194
7543,1,1,0.82042,0.02150
7543,5,1,1.40644,0.03686
7543,6,1,2.22686,0.05836
