[UE 9 | RB 1] Throughput = 0.79893 Mbps
[UE 12 | RB 1] Throughput = 0.85600 Mbps
[UE 15 | RB 1] Throughput = 0.79893 Mbps
[UE 16 | RB 1] Throughput = 0.62773 Mbps
[UE 17 | RB 1] Throughput = 0.85600 Mbps
[UE 20 | RB 1] Throughput = 0.62773 Mbps
[UE 2 | RB 1] Throughput = 1.19829 Mbps
[UE 3 | RB 1] Throughput = 1.19829 Mbps
[UE 9 | RB 1] Throughput = 0.65906 Mbps
[UE 12 | RB 1] Throughput = 0.65906 Mbps
[UE 15 | RB 1] Throughput = 0.83880 Mbps
[UE 16 | RB 1] Throughput = 0.71898 Mbps
[UE 17 | RB 1] Throughput = 0.59915 Mbps
[UE 20 | RB 1] Throughput = 0.71898 Mbps
[UE 2 | RB 1] Throughput = 0.85602 Mbps
[UE 3 | RB 1] Throughput = 1.36963 Mbps
[UE 9 | RB 1] Throughput = 1.02722 Mbps
[UE 12 | RB 1] Throughput = 0.57068 Mbps
[UE 15 | RB 1] Throughput = 0.62775 Mbps
[UE 16 | RB 1] Throughput = 0.97015 Mbps
[UE 17 | RB 1] Throughput = 0.79895 Mbps
[UE 20 | RB 1] Throughput = 0.97015 Mbps
[UE 2 | RB 1] Throughput = 1.04092 Mbps
[UE 3 | RB 1] Throughput = 0.88478 Mbps
[UE 9 | RB 1] Throughput = 0.57251 Mbps
[UE 12 | RB 1] Throughput = 0.52046 Mbps
[UE 15 | RB 1] Throughput = 0.62455 Mbps
[UE 16 | RB 1] Throughput = 0.57251 Mbps
[UE 17 | RB 1] Throughput = 0.78069 Mbps
[UE 20 | RB 1] Throughput = 0.62455 Mbps
[UE 2 | RB 1] Throughput = 1.19566 Mbps
[UE 3 | RB 1] Throughput = 1.07609 Mbps
[UE 9 | RB 1] Throughput = 1.01631 Mbps
[UE 12 | RB 1] Throughput = 0.59783 Mbps
[UE 15 | RB 1] Throughput = 1.01631 Mbps
[UE 16 | RB 1] Throughput = 1.13587 Mbps
[UE 17 | RB 1] Throughput = 0.65761 Mbps
[UE 20 | RB 1] Throughput = 1.01631 Mbps
[UE 2 | RB 1] Throughput = 1.37682 Mbps
[UE 3 | RB 1] Throughput = 1.25709 Mbps
[UE 9 | RB 1] Throughput = 0.71834 Mbps
[UE 12 | RB 1] Throughput = 0.59862 Mbps
[UE 15 | RB 1] Throughput = 0.65848 Mbps
[UE 16 | RB 1] Throughput = 0.71834 Mbps
[UE 17 | RB 1] Throughput = 1.01765 Mbps
[UE 20 | RB 1] Throughput = 0.77820 Mbps
[UE 2 | RB 1] Throughput = 0.91122 Mbps
[UE 3 | RB 1] Throughput = 0.79732 Mbps
[UE 9 | RB 1] Throughput = 0.96817 Mbps
[UE 12 | RB 1] Throughput = 0.56951 Mbps
[UE 15 | RB 1] Throughput = 0.96817 Mbps
[UE 16 | RB 1] Throughput = 1.08207 Mbps
[UE 17 | RB 1] Throughput = 0.68341 Mbps
[UE 20 | RB 1] Throughput = 1.02512 Mbps
[UE 2 | RB 1] Throughput = 1.09247 Mbps
[UE 3 | RB 1] Throughput = 0.91998 Mbps
[UE 9 | RB 1] Throughput = 0.68998 Mbps
[UE 12 | RB 1] Throughput = 0.68998 Mbps
[UE 15 | RB 1] Throughput = 0.68998 Mbps
[UE 16 | RB 1] Throughput = 0.80498 Mbps
[UE 17 | RB 1] Throughput = 0.97747 Mbps
[UE 20 | RB 1] Throughput = 1.09247 Mbps
[UE 2 | RB 1] Throughput = 0.71873 Mbps
[UE 3 | RB 1] Throughput = 1.31768 Mbps
[UE 9 | RB 1] Throughput = 0.95831 Mbps
[UE 12 | RB 1] Throughput = 0.95831 Mbps
[UE 15 | RB 1] Throughput = 1.01821 Mbps
[UE 16 | RB 1] Throughput = 1.07810 Mbps
[UE 17 | RB 1] Throughput = 0.35937 Mbps
[UE 20 | RB 1] Throughput = 0.95831 Mbps
[UE 2 | RB 1] Throughput = 0.77771 Mbps
[UE 3 | RB 1] Throughput = 0.95718 Mbps
[UE 9 | RB 1] Throughput = 0.89736 Mbps
[UE 12 | RB 1] Throughput = 0.65806 Mbps
[UE 15 | RB 1] Throughput = 0.71789 Mbps
[UE 16 | RB 1] Throughput = 0.71789 Mbps
[UE 17 | RB 1] Throughput = 1.01701 Mbps
[UE 20 | RB 1] Throughput = 0.95718 Mbps
[UE 2 | RB 1] Throughput = 1.08510 Mbps
[UE 3 | RB 1] Throughput = 0.95586 Mbps
[UE 9 | RB 1] Throughput = 0.74244 Mbps
[UE 12 | RB 1] Throughput = 0.68533 Mbps
[UE 15 | RB 1] Throughput = 0.74244 Mbps
[UE 16 | RB 1] Throughput = 0.74244 Mbps
[UE 17 | RB 1] Throughput = 0.68533 Mbps
[UE 20 | RB 1] Throughput = 0.68533 Mbps
[UE 2 | RB 1] Throughput = 0.20573 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 1.08153 Mbps
[UE 12 | RB 1] Throughput = 0.96769 Mbps
[UE 15 | RB 1] Throughput = 0.74000 Mbps
[UE 16 | RB 1] Throughput = 1.08153 Mbps
[UE 17 | RB 1] Throughput = 1.08153 Mbps
[UE 20 | RB 1] Throughput = 1.08153 Mbps
[UE 2 | RB 1] Throughput = 0.00703 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 1.08800 Mbps
[UE 12 | RB 1] Throughput = 0.68716 Mbps
[UE 15 | RB 1] Throughput = 0.91621 Mbps
[UE 16 | RB 1] Throughput = 1.14526 Mbps
[UE 17 | RB 1] Throughput = 0.74442 Mbps
[UE 20 | RB 1] Throughput = 1.14526 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 1.13799 Mbps
[UE 12 | RB 1] Throughput = 0.65884 Mbps
[UE 15 | RB 1] Throughput = 0.89841 Mbps
[UE 16 | RB 1] Throughput = 1.25778 Mbps
[UE 17 | RB 1] Throughput = 1.13799 Mbps
[UE 20 | RB 1] Throughput = 1.19788 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 1.13653 Mbps
[UE 12 | RB 1] Throughput = 0.71781 Mbps
[UE 15 | RB 1] Throughput = 1.13653 Mbps
[UE 16 | RB 1] Throughput = 1.19635 Mbps
[UE 17 | RB 1] Throughput = 1.13653 Mbps
[UE 20 | RB 1] Throughput = 1.67489 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.97215 Mbps
[UE 12 | RB 1] Throughput = 0.62904 Mbps
[UE 15 | RB 1] Throughput = 0.80059 Mbps
[UE 16 | RB 1] Throughput = 1.20089 Mbps
[UE 17 | RB 1] Throughput = 1.08652 Mbps
[UE 20 | RB 1] Throughput = 1.14370 Mbps
