Time_ms,UE_ID,RB_ID,Throughput_Mbps,Repetition,Scenario,Num_UEs
87344,2,1,0.98396,31,cb,5
87344,3,1,1.09329,31,cb,5
87345,1,1,1.07591,2,cb,5
87345,1,1,1.09348,4,cb,5
87345,1,1,1.07784,13,cb,5
87345,2,1,1.09047,47,cb,5
87345,3,1,0.98142,47,cb,5
87345,2,1,0.97877,48,cb,5
87345,3,1,1.08753,48,cb,5
87348,2,1,1.07647,45,cb,5
87348,3,1,1.07647,45,cb,5
87348,1,1,1.09723,57,cb,5
87348,2,1,1.09723,57,cb,5
87355,2,1,1.07697,46,cb,5
87355,3,1,1.07697,46,cb,5
87355,3,1,1.07172,55,cb,5
87355,4,1,1.07172,55,cb,5
87355,5,1,1.07172,55,cb,5
87355,3,1,1.09049,56,cb,5
87355,4,1,1.09049,56,cb,5
87355,5,1,1.09049,56,cb,5
87356,2,1,1.07562,50,cb,5
87356,3,1,1.07562,50,cb,5
87357,1,1,1.0774,55,cb,5
87357,2,1,1.0774,55,cb,5
87357,1,1,1.09,56,cb,5
87357,2,1,1.09,56,cb,5
87358,2,1,0.98373,39,cb,5
87358,3,1,0.98373,39,cb,5
87358,2,1,1.07678,51,cb,5
87358,3,1,1.07678,51,cb,5
87361,1,1,1.31233,44,cb,5
87361,5,1,1.20297,44,cb,5
87361,4,1,1.31233,44,cb,5
87364,2,1,1.09312,30,cb,5
87364,3,1,1.09312,30,cb,5
87365,1,1,0.00828,22,cb,5
87365,1,1,11.70923,26,cb,5
87365,2,1,1.07457,43,cb,5
87365,3,1,1.07457,43,cb,5
87365,3,1,0.98645,57,cb,5
87365,4,1,1.09605,57,cb,5
87365,5,1,1.09605,57,cb,5
87368,2,1,0.97967,37,cb,5
87368,3,1,1.08852,37,cb,5
87368,2,1,1.07658,38,cb,5
87368,3,1,1.07658,38,cb,5
87375,1,1,1.08653,1,cb,5
87375,1,1,1.09038,6,cb,5
87375,1,1,1.09011,8,cb,5
87375,1,1,1.09466,9,cb,5
87375,1,1,1.07502,16,cb,5
87375,2,1,1.08996,41,cb,5
87375,3,1,1.08996,41,cb,5
87375,2,1,1.09061,42,cb,5
87375,3,1,0.98155,42,cb,5
87375,2,1,1.07514,52,cb,5
87375,3,1,1.07514,52,cb,5
87377,2,1,1.07816,36,cb,5
87377,3,1,1.07816,36,cb,5
87385,3,1,0.98031,58,cb,5
87385,4,1,1.08924,58,cb,5
87385,5,1,1.08924,58,cb,5
87386,1,1,11.65501,25,cb,5
87388,2,1,1.09113,32,cb,5
87388,3,1,1.09113,32,cb,5
87388,2,1,1.07614,40,cb,5
87388,3,1,1.07614,40,cb,5
87400,1,1,0.0445,43,cb,5
87400,5,1,0.03337,43,cb,5
87400,4,1,0.03337,43,cb,5
87402,1,1,1.09312,47,cb,5
87402,5,1,1.09312,47,cb,5
87402,4,1,1.09312,47,cb,5
87403,1,1,1.3161,41,cb,5
87403,5,1,1.3161,41,cb,5
87403,4,1,1.20643,41,cb,5
87405,1,1,1.07591,3,cb,5
87405,2,1,1.07688,33,cb,5
87405,3,1,1.07688,33,cb,5
87406,1,1,0.85614,17,cb,5
87415,1,1,2.97945,10,cb,5
87415,2,1,1.09149,34,cb,5
87415,3,1,1.09149,34,cb,5
87415,2,1,1.07222,44,cb,5
87415,3,1,1.07222,44,cb,5
87424,1,1,1.09156,5,cb,5
87424,1,1,1.07692,45,cb,5
87424,5,1,1.07692,45,cb,5
87424,4,1,1.07692,45,cb,5
87425,1,1,1.07582,11,cb,5
87425,2,1,0.98331,49,cb,5
87425,3,1,1.09256,49,cb,5
87425,2,1,1.07384,53,cb,5
87425,3,1,1.07384,53,cb,5
87425,2,1,1.07629,54,cb,5
87425,3,1,1.07629,54,cb,5
87430,1,1,1.05125,58,cb,5
87430,2,1,1.05125,58,cb,5
87435,1,1,0.86522,28,cb,5
87435,2,1,0.98121,35,cb,5
87435,3,1,1.09024,35,cb,5
87445,1,1,1.07494,4,cb,5
87445,1,1,1.09108,12,cb,5
87445,1,1,1.09022,29,cb,5
87445,2,1,1.0757,31,cb,5
87445,3,1,0.95618,31,cb,5
87455,1,1,1.09145,2,cb,5
87455,1,1,1.09097,13,cb,5
87455,2,1,1.07677,46,cb,5
87455,3,1,1.07677,46,cb,5
87455,2,1,1.09355,47,cb,5
87455,3,1,1.09355,47,cb,5
87455,2,1,1.09052,48,cb,5
87455,3,1,0.98146,48,cb,5
87457,1,1,1.07648,56,cb,5
87457,2,1,1.07648,56,cb,5
87457,1,1,0.9824,57,cb,5
87457,2,1,1.09156,57,cb,5
87458,2,1,1.08714,45,cb,5
87458,3,1,1.08714,45,cb,5
87461,1,1,0.71511,44,cb,5
87461,5,1,0.71511,44,cb,5
87461,4,1,0.71511,44,cb,5
87464,2,1,1.07732,30,cb,5
87464,3,1,1.07732,30,cb,5
87465,3,1,1.09679,55,cb,5
87465,4,1,1.09679,55,cb,5
