[UE 12 | RBs:  1 ] Total Throughput = 0.21880 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22001 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22001 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33002 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.43573 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.43573 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21787 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21625 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21625 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21625 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21956 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21956 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32934 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23726 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23726 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23726 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35921 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35921 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23947 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21822 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21822 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21822 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32880 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32880 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.43840 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32917 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21944 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21944 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21678 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21678 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21678 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21820 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.43640 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.43640 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35596 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.11865 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.11865 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21744 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32615 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32615 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21965 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32948 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32948 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32767 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21844 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21844 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21335 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21335 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21335 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22006 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22006 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33009 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.44219 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.33165 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22110 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23634 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35451 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23634 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22067 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22067 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33101 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.11855 Mbps
